municipality,group,variable,month,Cantidad,TOTAL
TIQUIPAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,40,40
TOCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,4,4
TOLATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,1,1
URIONDO (A. CONCEPCION),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,9,9
VALLEGRANDE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,4,4
VILLA MONTES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,9,9
VILLA TUNARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,1,1
WARNES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,1,1
YACUIBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,43,43
YAPACANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,4,4
YOTALA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,5,5
ZUDAÑEZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-03-01,1,1
ARBIETO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,3,3
BERMEJO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,13,13
BETANZOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,2,2
CAPINOTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,6,6
CARANAVI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,5,5
CARAPARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,6,6
CHALLAPATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,8,8
CLIZA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,17,17
COBIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,15,15
COCHABAMBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,249,249
COLCAPIRHUA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,1,1
COLOMI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,1,1
COMARAPA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,3,3
CORO CORO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,2,2
COTOCA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,4,4
DESAGUADERO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,1,1
EL ALTO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,221,221
EUCALIPTUS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,1,1
GUAQUI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,1,1
HUANUNI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,2,2
ICLA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,1,1
LA GUARDIA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,8,8
LA PAZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,471,471
MOCOMOCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,2,2
MONTERO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,7,7
ORURO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,70,70
PADCAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,2,2
POTOSI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,1,1
PUCARANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,2,2
PUERTO ACOSTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,5,5
PUERTO CARABUCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,1,1
PUERTO RICO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,1,1
PUERTO VILLARROEL,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,3,3
QUILLACOLLO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,61,61
QUIRUSILLAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,1,1
SACABA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,63,63
SAN BENITO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,3,3
SAN IGNACIO DE VELASCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,1,1
SAN JUAN DE YAPACANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,3,3
SAN JULIAN,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,1,1
SAN LORENZO(TJA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,2,2
SAN PEDRO DE TIQUINA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,1,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,153,153
SANTIAGO DE CALLAPA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,1,1
SIPE SIPE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,8,8
SUCRE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,222,222
TARIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,132,132
TIQUIPAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,17,17
TIRAQUE (CBBA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,4,4
TOCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,1,1
TRINIDAD,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,2,2
URIONDO (A. CONCEPCION),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,9,9
VALLEGRANDE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,1,1
VILLA MONTES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,4,4
VILLA TUNARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,1,1
VINTO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,42,42
WARNES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,4,4
YACUIBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,51,51
YOTALA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-04-01,2,2
ARBIETO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,5,5
ASCENCION DE GUARAYOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,1,1
BERMEJO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,20,20
BETANZOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,2,2
"CAIZA ""D""",sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,1,1
CAPINOTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,4,4
CAQUIAVIRI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,3,3
CARANAVI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,7,7
CARAPARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,6,6
CHALLAPATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,5,5
CLIZA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,11,11
COBIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,15,15
COCHABAMBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,130,130
COLCAPIRHUA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,2,2
COLOMI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,3,3
COMARAPA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,3,3
CORO CORO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,3,3
COTOCA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,2,2
DESAGUADERO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,3,3
EL ALTO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,174,174
EL PUENTE(TJA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,1,1
EL TORNO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,1,1
EUCALIPTUS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,2,2
HUANUNI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2005-05-01,1,1
