,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,TOTALES,TOTALES,TOTALES
YAMPARAEZ,talla para la edad (t/e),talla baja (tb),2008-01-01,21,22,24,18,71,64,116,104,220
YUNCHARA,talla para la edad (t/e),talla baja (tb),2008-01-01,1,3,6,5,18,12,25,20,45
ACHACACHI,talla para la edad (t/e),talla baja (tb),2008-02-01,10,8,10,5,16,21,36,34,70
ACHOCALLA,talla para la edad (t/e),talla baja (tb),2008-02-01,1,0,1,0,2,4,4,4,8
ALALAY,talla para la edad (t/e),talla baja (tb),2008-02-01,0,1,0,1,0,1,0,3,3
ANDAMARCA,talla para la edad (t/e),talla baja (tb),2008-02-01,2,5,11,6,8,15,21,26,47
ANTEQUERA,talla para la edad (t/e),talla baja (tb),2008-02-01,2,2,0,0,8,6,10,8,18
ANZALDO,talla para la edad (t/e),talla baja (tb),2008-02-01,3,1,5,2,2,1,10,4,14
APOLO,talla para la edad (t/e),talla baja (tb),2008-02-01,1,6,5,7,17,13,23,26,49
ARANI,talla para la edad (t/e),talla baja (tb),2008-02-01,0,2,0,0,1,4,1,6,7
ARBIETO,talla para la edad (t/e),talla baja (tb),2008-02-01,2,4,6,4,2,8,10,16,26
ASCENCION DE GUARAYOS,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,18,9,0,0,18,9,27
ATOCHA,talla para la edad (t/e),talla baja (tb),2008-02-01,8,2,5,10,15,19,28,31,59
AUCAPATA,talla para la edad (t/e),talla baja (tb),2008-02-01,1,0,2,2,2,2,5,4,9
AYATA,talla para la edad (t/e),talla baja (tb),2008-02-01,6,6,11,8,14,11,31,25,56
BATALLAS,talla para la edad (t/e),talla baja (tb),2008-02-01,8,2,15,10,7,8,30,20,50
BAURES,talla para la edad (t/e),talla baja (tb),2008-02-01,1,3,4,1,1,6,6,10,16
BERMEJO,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,2,1,3,3,5,4,9
BETANZOS,talla para la edad (t/e),talla baja (tb),2008-02-01,1,1,1,4,3,5,5,10,15
CAIROMA,talla para la edad (t/e),talla baja (tb),2008-02-01,5,2,3,4,10,9,18,15,33
CALACOTO,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,0,2,0,0,0,2,2
CALAMARCA,talla para la edad (t/e),talla baja (tb),2008-02-01,11,24,24,30,40,43,75,97,172
CAMARGO,talla para la edad (t/e),talla baja (tb),2008-02-01,9,12,19,19,39,30,67,61,128
CAMATAQUI (C. VILLA ABECIA),talla para la edad (t/e),talla baja (tb),2008-02-01,1,1,0,1,1,1,2,3,5
CAPINOTA,talla para la edad (t/e),talla baja (tb),2008-02-01,2,0,2,1,1,1,5,2,7
CARACOLLO,talla para la edad (t/e),talla baja (tb),2008-02-01,10,6,13,10,9,7,32,23,55
CARIPUYO,talla para la edad (t/e),talla baja (tb),2008-02-01,22,24,57,27,86,85,165,136,301
CARMEN RIVERO TORREZ,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,3,2,0,0,3,2,5
CATACORA,talla para la edad (t/e),talla baja (tb),2008-02-01,1,1,2,6,11,12,14,19,33
CHALLAPATA,talla para la edad (t/e),talla baja (tb),2008-02-01,17,18,31,31,37,48,85,97,182
CHAQUI,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,2,0,3,3,5,3,8
CHAYANTA,talla para la edad (t/e),talla baja (tb),2008-02-01,2,2,2,2,1,1,5,5,10
CHOQUE COTA,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,0,0,1,0,1,0,1
CHUMA,talla para la edad (t/e),talla baja (tb),2008-02-01,7,7,22,20,28,35,57,62,119
CLIZA,talla para la edad (t/e),talla baja (tb),2008-02-01,3,1,4,6,0,4,7,11,18
COBIJA,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,1,0,4,2,5,2,7
COIPASA,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,0,1,2,0,2,1,3
"COLCHA ""K""",talla para la edad (t/e),talla baja (tb),2008-02-01,0,1,2,3,4,2,6,6,12
COLLANA,talla para la edad (t/e),talla baja (tb),2008-02-01,2,0,0,1,1,4,3,5,8
COLOMI,talla para la edad (t/e),talla baja (tb),2008-02-01,8,6,11,5,20,16,39,27,66
COLQUIRI,talla para la edad (t/e),talla baja (tb),2008-02-01,2,4,0,1,2,6,4,11,15
COMBAYA,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,1,4,0,1,1,5,6
COPACABANA,talla para la edad (t/e),talla baja (tb),2008-02-01,5,3,4,4,2,2,11,9,20
CORIPATA,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,0,1,4,3,4,4,8
CORO CORO,talla para la edad (t/e),talla baja (tb),2008-02-01,5,4,4,6,6,10,15,20,35
COROICO,talla para la edad (t/e),talla baja (tb),2008-02-01,10,8,13,12,25,15,48,35,83
CORQUE,talla para la edad (t/e),talla baja (tb),2008-02-01,3,3,3,2,4,4,10,9,19
COTAGAITA,talla para la edad (t/e),talla baja (tb),2008-02-01,3,3,5,8,14,9,22,20,42
CURAHUARA DE CARANGAS,talla para la edad (t/e),talla baja (tb),2008-02-01,8,4,13,5,9,7,30,16,46
CURVA,talla para la edad (t/e),talla baja (tb),2008-02-01,2,4,5,2,11,7,18,13,31
DESAGUADERO,talla para la edad (t/e),talla baja (tb),2008-02-01,2,2,2,2,1,3,5,7,12
EL ALTO,talla para la edad (t/e),talla baja (tb),2008-02-01,168,158,230,174,220,228,618,560,1178
EL CHORO,talla para la edad (t/e),talla baja (tb),2008-02-01,5,5,4,3,4,3,13,11,24
EL PUENTE(TJA),talla para la edad (t/e),talla baja (tb),2008-02-01,10,9,11,8,20,20,41,37,78
ENTRE RIOS,talla para la edad (t/e),talla baja (tb),2008-02-01,1,0,6,3,10,5,17,8,25
ENTRE RIOS,talla para la edad (t/e),talla baja (tb),2008-02-01,1,6,1,4,0,0,2,10,12
EUCALIPTUS,talla para la edad (t/e),talla baja (tb),2008-02-01,1,1,5,4,16,15,22,20,42
GRAL. J.J. PEREZ (CHARAZANI),talla para la edad (t/e),talla baja (tb),2008-02-01,9,5,13,8,22,25,44,38,82
GUAQUI,talla para la edad (t/e),talla baja (tb),2008-02-01,1,1,0,0,1,0,2,1,3
HUACHACALLA,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,2,0,1,0,3,0,3
HUANUNI,talla para la edad (t/e),talla baja (tb),2008-02-01,2,1,0,0,1,0,3,1,4
HUARACAJE,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,4,0,1,1,5,1,6
HUAYLLAMARCA,talla para la edad (t/e),talla baja (tb),2008-02-01,2,0,1,2,3,4,6,6,12
ICLA,talla para la edad (t/e),talla baja (tb),2008-02-01,14,11,52,48,117,114,183,173,356
INCAHUASI,talla para la edad (t/e),talla baja (tb),2008-02-01,39,41,90,73,178,182,307,296,603
INQUISIVI,talla para la edad (t/e),talla baja (tb),2008-02-01,3,4,11,10,17,15,31,29,60
IRUPANA (VILLA DE LANZA),talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,1,0,2,1,3,1,4
IXIAMAS,talla para la edad (t/e),talla baja (tb),2008-02-01,4,1,2,4,6,13,12,18,30
JESUS DE MACHACA,talla para la edad (t/e),talla baja (tb),2008-02-01,12,10,16,12,26,21,54,43,97
LA PAZ,talla para la edad (t/e),talla baja (tb),2008-02-01,56,36,53,36,56,68,165,140,305
LAGUNILLAS,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,0,1,0,0,0,1,1
LAJA,talla para la edad (t/e),talla baja (tb),2008-02-01,4,4,3,1,3,5,10,10,20
LAS CARRERAS,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,0,0,0,1,0,1,1
LICOMA PAMPA,talla para la edad (t/e),talla baja (tb),2008-02-01,1,0,3,1,2,5,6,6,12
LLALLAGUA,talla para la edad (t/e),talla baja (tb),2008-02-01,4,1,2,4,9,9,15,14,29
LLICA,talla para la edad (t/e),talla baja (tb),2008-02-01,0,3,1,2,0,3,1,8,9
LURIBAY,talla para la edad (t/e),talla baja (tb),2008-02-01,4,4,4,5,11,10,19,19,38
MACHACAMARCA,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,2,0,4,1,6,1,7
MAGDALENA,talla para la edad (t/e),talla baja (tb),2008-02-01,1,1,1,1,0,0,2,2,4
MALLA,talla para la edad (t/e),talla baja (tb),2008-02-01,4,0,3,3,12,13,19,16,35
MIZQUE,talla para la edad (t/e),talla baja (tb),2008-02-01,4,1,0,1,0,3,4,5,9
MOCOMOCO,talla para la edad (t/e),talla baja (tb),2008-02-01,5,8,18,11,11,10,34,29,63
MOJINETE,talla para la edad (t/e),talla baja (tb),2008-02-01,0,1,0,0,1,2,1,3,4
MORO MORO,talla para la edad (t/e),talla baja (tb),2008-02-01,3,3,2,1,1,7,6,11,17
MOROCHATA,talla para la edad (t/e),talla baja (tb),2008-02-01,10,10,11,16,9,9,30,35,65
NAZACARA DE PACAJES,talla para la edad (t/e),talla baja (tb),2008-02-01,1,1,0,0,0,0,1,1,2
OCURI,talla para la edad (t/e),talla baja (tb),2008-02-01,24,14,25,22,15,11,64,47,111
ORURO,talla para la edad (t/e),talla baja (tb),2008-02-01,38,39,27,28,50,46,115,113,228
PADCAYA,talla para la edad (t/e),talla baja (tb),2008-02-01,1,1,3,5,1,2,5,8,13
PADILLA,talla para la edad (t/e),talla baja (tb),2008-02-01,3,1,7,6,21,4,31,11,42
PALCA,talla para la edad (t/e),talla baja (tb),2008-02-01,1,0,0,0,0,0,1,0,1
PAMPA AULLAGAS,talla para la edad (t/e),talla baja (tb),2008-02-01,4,2,14,10,7,15,25,27,52
PAPEL PAMPA,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,0,0,1,0,1,0,1
PATACAMAYA,talla para la edad (t/e),talla baja (tb),2008-02-01,0,1,2,2,3,2,5,5,10
PAZÑA,talla para la edad (t/e),talla baja (tb),2008-02-01,3,0,4,3,4,4,11,7,18
PELECHUCO,talla para la edad (t/e),talla baja (tb),2008-02-01,3,6,7,9,9,10,19,25,44
POCONA,talla para la edad (t/e),talla baja (tb),2008-02-01,10,6,0,4,9,10,19,20,39
POJO (CBBA),talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,0,0,3,2,3,2,5
POOPO,talla para la edad (t/e),talla baja (tb),2008-02-01,2,0,4,1,1,0,7,1,8
POROMA,talla para la edad (t/e),talla baja (tb),2008-02-01,25,16,48,47,57,53,130,116,246
PORTACHUELO,talla para la edad (t/e),talla baja (tb),2008-02-01,0,3,2,1,3,3,5,7,12
POTOSI,talla para la edad (t/e),talla baja (tb),2008-02-01,33,23,13,3,14,12,60,38,98
PRESTO,talla para la edad (t/e),talla baja (tb),2008-02-01,17,7,20,20,45,47,82,74,156
PUCARANI,talla para la edad (t/e),talla baja (tb),2008-02-01,3,2,0,0,2,0,5,2,7
PUERTO CARABUCO,talla para la edad (t/e),talla baja (tb),2008-02-01,13,9,7,13,20,19,40,41,81
PUERTO PEREZ,talla para la edad (t/e),talla baja (tb),2008-02-01,1,1,1,1,3,1,5,3,8
PUERTO VILLARROEL,talla para la edad (t/e),talla baja (tb),2008-02-01,7,1,9,1,1,0,17,2,19
PUNATA,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,4,1,2,6,6,7,13
QUILLACOLLO,talla para la edad (t/e),talla baja (tb),2008-02-01,4,7,17,14,7,12,28,33,61
QUIME,talla para la edad (t/e),talla baja (tb),2008-02-01,4,2,11,7,16,20,31,29,60
RIBERALTA,talla para la edad (t/e),talla baja (tb),2008-02-01,3,1,5,4,3,4,11,9,20
RURRENABAQUE,talla para la edad (t/e),talla baja (tb),2008-02-01,0,1,0,0,0,0,0,1,1
SABAYA,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,1,1,0,1,1,2,3
SACABA,talla para la edad (t/e),talla baja (tb),2008-02-01,9,9,19,16,27,22,55,47,102
SACABAMBA,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,0,1,0,0,0,1,1
SACACA,talla para la edad (t/e),talla baja (tb),2008-02-01,19,14,9,11,13,15,41,40,81
SALINAS DE GARCI MENDOZA,talla para la edad (t/e),talla baja (tb),2008-02-01,1,2,6,4,10,8,17,14,31
SAN ANTONIO DE ESMORUCO,talla para la edad (t/e),talla baja (tb),2008-02-01,1,2,0,2,0,1,1,5,6
SAN BORJA,talla para la edad (t/e),talla baja (tb),2008-02-01,8,12,9,12,15,13,32,37,69
SAN IGNACIO,talla para la edad (t/e),talla baja (tb),2008-02-01,14,13,20,20,14,14,48,47,95
SAN IGNACIO DE VELASCO,talla para la edad (t/e),talla baja (tb),2008-02-01,2,0,1,1,3,4,6,5,11
SAN LORENZO(TJA),talla para la edad (t/e),talla baja (tb),2008-02-01,1,3,6,6,11,10,18,19,37
SAN LUCAS,talla para la edad (t/e),talla baja (tb),2008-02-01,6,10,14,8,20,30,40,48,88
SAN PABLO DE LIPEZ,talla para la edad (t/e),talla baja (tb),2008-02-01,5,2,7,2,8,4,20,8,28
SAN RAFAEL,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,1,0,0,0,1,0,1
SANTA ANA,talla para la edad (t/e),talla baja (tb),2008-02-01,0,0,5,6,1,1,6,7,13
