,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,TOTALES,TOTALES,TOTALES
TARACO,talla para la edad (t/e),talla normal (t n),2008-01-01,13,7,8,13,11,8,32,28,60
TARATA,talla para la edad (t/e),talla normal (t n),2008-01-01,17,11,9,10,5,13,31,34,65
TARIJA,talla para la edad (t/e),talla normal (t n),2008-01-01,0,0,0,0,0,3,0,3,3
TARVITA,talla para la edad (t/e),talla normal (t n),2008-01-01,58,52,34,50,79,47,171,149,320
TIAWANACU,talla para la edad (t/e),talla normal (t n),2008-01-01,50,33,37,26,23,25,110,84,194
TINGUIPAYA,talla para la edad (t/e),talla normal (t n),2008-01-01,8,7,0,2,3,5,11,14,25
TIQUIPAYA,talla para la edad (t/e),talla normal (t n),2008-01-01,1,5,1,0,7,4,9,9,18
TIRAQUE (CBBA),talla para la edad (t/e),talla normal (t n),2008-01-01,86,98,45,49,74,84,205,231,436
TITO YUPANQUI (PARQUIPUJIO),talla para la edad (t/e),talla normal (t n),2008-01-01,2,5,1,6,5,10,8,21,29
TOCO,talla para la edad (t/e),talla normal (t n),2008-01-01,29,16,21,20,28,33,78,69,147
TODOS SANTOS,talla para la edad (t/e),talla normal (t n),2008-01-01,3,1,1,0,2,0,6,1,7
TOLATA,talla para la edad (t/e),talla normal (t n),2008-01-01,0,0,1,0,0,0,1,0,1
TOLEDO,talla para la edad (t/e),talla normal (t n),2008-01-01,4,4,0,0,4,0,8,4,12
TORO TORO,talla para la edad (t/e),talla normal (t n),2008-01-01,20,23,19,132,29,35,68,190,258
TOTORA(CBBA),talla para la edad (t/e),talla normal (t n),2008-01-01,0,0,1,0,0,0,1,0,1
TOTORA(ORR),talla para la edad (t/e),talla normal (t n),2008-01-01,30,18,13,18,32,22,75,58,133
TRIGAL,talla para la edad (t/e),talla normal (t n),2008-01-01,2,1,3,0,12,4,17,5,22
TRINIDAD,talla para la edad (t/e),talla normal (t n),2008-01-01,43,29,14,16,41,21,98,66,164
TUPIZA,talla para la edad (t/e),talla normal (t n),2008-01-01,77,81,54,39,99,97,230,217,447
TURCO,talla para la edad (t/e),talla normal (t n),2008-01-01,4,1,2,3,2,1,8,5,13
UYUNI,talla para la edad (t/e),talla normal (t n),2008-01-01,1,2,2,3,3,5,6,10,16
VALLEGRANDE,talla para la edad (t/e),talla normal (t n),2008-01-01,2,0,2,2,9,3,13,5,18
VIACHA,talla para la edad (t/e),talla normal (t n),2008-01-01,28,24,15,4,10,8,53,36,89
VILLA TUNARI,talla para la edad (t/e),talla normal (t n),2008-01-01,80,95,58,55,72,84,210,234,444
VITICHI,talla para la edad (t/e),talla normal (t n),2008-01-01,6,14,9,4,19,19,34,37,71
YACO,talla para la edad (t/e),talla normal (t n),2008-01-01,0,0,0,2,0,0,0,2,2
YACUIBA,talla para la edad (t/e),talla normal (t n),2008-01-01,57,38,33,35,41,31,131,104,235
YAMPARAEZ,talla para la edad (t/e),talla normal (t n),2008-01-01,35,26,33,32,108,106,176,164,340
YANACACHI,talla para la edad (t/e),talla normal (t n),2008-01-01,0,2,0,0,0,0,0,2,2
YAPACANI,talla para la edad (t/e),talla normal (t n),2008-01-01,1,12,11,7,1,4,13,23,36
YUNCHARA,talla para la edad (t/e),talla normal (t n),2008-01-01,6,6,7,11,17,22,30,39,69
ACHACACHI,talla para la edad (t/e),talla normal (t n),2008-02-01,85,97,35,31,60,66,180,194,374
ACHOCALLA,talla para la edad (t/e),talla normal (t n),2008-02-01,36,29,12,13,18,24,66,66,132
ANDAMARCA,talla para la edad (t/e),talla normal (t n),2008-02-01,15,16,12,3,12,14,39,33,72
ANTEQUERA,talla para la edad (t/e),talla normal (t n),2008-02-01,3,1,2,2,11,16,16,19,35
ANZALDO,talla para la edad (t/e),talla normal (t n),2008-02-01,7,6,8,7,21,14,36,27,63
APOLO,talla para la edad (t/e),talla normal (t n),2008-02-01,103,91,61,50,90,70,254,211,465
ARANI,talla para la edad (t/e),talla normal (t n),2008-02-01,12,6,6,4,16,14,34,24,58
ARBIETO,talla para la edad (t/e),talla normal (t n),2008-02-01,33,33,27,22,16,32,76,87,163
ASCENCION DE GUARAYOS,talla para la edad (t/e),talla normal (t n),2008-02-01,0,0,19,10,0,0,19,10,29
ATOCHA,talla para la edad (t/e),talla normal (t n),2008-02-01,63,63,40,32,59,52,162,147,309
AUCAPATA,talla para la edad (t/e),talla normal (t n),2008-02-01,3,1,3,2,1,7,7,10,17
AYATA,talla para la edad (t/e),talla normal (t n),2008-02-01,36,29,18,22,18,8,72,59,131
AYOPAYA (V. DE INDEPENDENCIA),talla para la edad (t/e),talla normal (t n),2008-02-01,1,1,3,8,8,13,12,22,34
BATALLAS,talla para la edad (t/e),talla normal (t n),2008-02-01,68,54,41,40,69,47,178,141,319
BAURES,talla para la edad (t/e),talla normal (t n),2008-02-01,30,23,20,24,32,41,82,88,170
BELEN DE ANDAMARCA,talla para la edad (t/e),talla normal (t n),2008-02-01,5,3,4,1,1,1,10,5,15
BERMEJO,talla para la edad (t/e),talla normal (t n),2008-02-01,14,13,7,7,3,5,24,25,49
BETANZOS,talla para la edad (t/e),talla normal (t n),2008-02-01,8,6,4,8,19,9,31,23,54
CAIROMA,talla para la edad (t/e),talla normal (t n),2008-02-01,46,55,24,26,64,55,134,136,270
CALACOTO,talla para la edad (t/e),talla normal (t n),2008-02-01,2,0,1,1,0,2,3,3,6
CALAMARCA,talla para la edad (t/e),talla normal (t n),2008-02-01,39,62,41,45,47,37,127,144,271
CAMARGO,talla para la edad (t/e),talla normal (t n),2008-02-01,60,70,54,42,77,76,191,188,379
CAMATAQUI (C. VILLA ABECIA),talla para la edad (t/e),talla normal (t n),2008-02-01,2,6,1,3,4,1,7,10,17
CARACOLLO,talla para la edad (t/e),talla normal (t n),2008-02-01,85,90,33,54,20,19,138,163,301
CARAPARI,talla para la edad (t/e),talla normal (t n),2008-02-01,0,1,2,1,6,5,8,7,15
CARIPUYO,talla para la edad (t/e),talla normal (t n),2008-02-01,25,34,8,28,31,38,64,100,164
CARMEN RIVERO TORREZ,talla para la edad (t/e),talla normal (t n),2008-02-01,0,0,7,7,1,4,8,11,19
CATACORA,talla para la edad (t/e),talla normal (t n),2008-02-01,5,2,5,3,12,6,22,11,33
CHALLAPATA,talla para la edad (t/e),talla normal (t n),2008-02-01,42,32,17,27,42,35,101,94,195
CHAQUI,talla para la edad (t/e),talla normal (t n),2008-02-01,5,9,4,4,10,10,19,23,42
CHAYANTA,talla para la edad (t/e),talla normal (t n),2008-02-01,7,9,8,8,7,9,22,26,48
CHIPAYA,talla para la edad (t/e),talla normal (t n),2008-02-01,2,1,0,0,0,0,2,1,3
CHOQUE COTA,talla para la edad (t/e),talla normal (t n),2008-02-01,1,1,4,2,1,0,6,3,9
CHULUMANI (V. DE LA LIBERTAD),talla para la edad (t/e),talla normal (t n),2008-02-01,3,2,9,11,12,7,24,20,44
CHUMA,talla para la edad (t/e),talla normal (t n),2008-02-01,32,39,24,27,24,25,80,91,171
CLIZA,talla para la edad (t/e),talla normal (t n),2008-02-01,62,51,32,48,22,30,116,129,245
COBIJA,talla para la edad (t/e),talla normal (t n),2008-02-01,52,41,23,27,33,46,108,114,222
COIPASA,talla para la edad (t/e),talla normal (t n),2008-02-01,2,3,3,6,1,3,6,12,18
"COLCHA ""K""",talla para la edad (t/e),talla normal (t n),2008-02-01,3,2,3,1,8,4,14,7,21
COLLANA,talla para la edad (t/e),talla normal (t n),2008-02-01,6,8,4,5,7,0,17,13,30
COLOMI,talla para la edad (t/e),talla normal (t n),2008-02-01,81,77,30,31,66,41,177,149,326
COLQUENCHA,talla para la edad (t/e),talla normal (t n),2008-02-01,6,4,0,2,4,1,10,7,17
COLQUIRI,talla para la edad (t/e),talla normal (t n),2008-02-01,39,23,11,11,16,11,66,45,111
COMBAYA,talla para la edad (t/e),talla normal (t n),2008-02-01,9,10,10,10,22,17,41,37,78
COPACABANA,talla para la edad (t/e),talla normal (t n),2008-02-01,42,35,17,26,18,24,77,85,162
CORIPATA,talla para la edad (t/e),talla normal (t n),2008-02-01,51,50,23,21,38,31,112,102,214
CORO CORO,talla para la edad (t/e),talla normal (t n),2008-02-01,12,13,6,7,10,6,28,26,54
COROICO,talla para la edad (t/e),talla normal (t n),2008-02-01,55,63,25,27,33,29,113,119,232
CORQUE,talla para la edad (t/e),talla normal (t n),2008-02-01,9,14,4,5,5,7,18,26,44
COTAGAITA,talla para la edad (t/e),talla normal (t n),2008-02-01,11,10,7,9,15,16,33,35,68
CURAHUARA DE CARANGAS,talla para la edad (t/e),talla normal (t n),2008-02-01,35,25,28,15,15,20,78,60,138
CURVA,talla para la edad (t/e),talla normal (t n),2008-02-01,12,9,7,4,5,10,24,23,47
DESAGUADERO,talla para la edad (t/e),talla normal (t n),2008-02-01,30,31,15,13,13,8,58,52,110
EL ALTO,talla para la edad (t/e),talla normal (t n),2008-02-01,2088,1943,954,921,1173,1110,4215,3974,8189
EL CHORO,talla para la edad (t/e),talla normal (t n),2008-02-01,25,26,26,23,13,13,64,62,126
EL PUENTE(TJA),talla para la edad (t/e),talla normal (t n),2008-02-01,4,1,3,3,5,9,12,13,25
ENTRE RIOS,talla para la edad (t/e),talla normal (t n),2008-02-01,57,60,27,35,70,56,154,151,305
ENTRE RIOS,talla para la edad (t/e),talla normal (t n),2008-02-01,30,28,29,19,0,0,59,47,106
ESCARA,talla para la edad (t/e),talla normal (t n),2008-02-01,1,1,1,0,0,0,2,1,3
EUCALIPTUS,talla para la edad (t/e),talla normal (t n),2008-02-01,41,36,25,20,55,50,121,106,227
GRAL. J.J. PEREZ (CHARAZANI),talla para la edad (t/e),talla normal (t n),2008-02-01,49,47,26,23,45,55,120,125,245
GUAQUI,talla para la edad (t/e),talla normal (t n),2008-02-01,20,17,13,23,19,18,52,58,110
HUACARETA,talla para la edad (t/e),talla normal (t n),2008-02-01,3,2,0,0,0,0,3,2,5
HUACHACALLA,talla para la edad (t/e),talla normal (t n),2008-02-01,1,1,0,1,1,0,2,2,4
HUANUNI,talla para la edad (t/e),talla normal (t n),2008-02-01,6,8,3,8,0,2,9,18,27
HUARACAJE,talla para la edad (t/e),talla normal (t n),2008-02-01,16,21,16,10,21,16,53,47,100
HUAYLLAMARCA,talla para la edad (t/e),talla normal (t n),2008-02-01,41,18,23,20,11,15,75,53,128
ICHOCA,talla para la edad (t/e),talla normal (t n),2008-02-01,5,6,3,4,7,8,15,18,33
ICLA,talla para la edad (t/e),talla normal (t n),2008-02-01,71,70,50,46,143,160,264,276,540
INCAHUASI,talla para la edad (t/e),talla normal (t n),2008-02-01,185,180,107,102,192,212,484,494,978
INQUISIVI,talla para la edad (t/e),talla normal (t n),2008-02-01,44,37,25,27,33,26,102,90,192
IRUPANA (VILLA DE LANZA),talla para la edad (t/e),talla normal (t n),2008-02-01,1,4,3,3,7,3,11,10,21
IXIAMAS,talla para la edad (t/e),talla normal (t n),2008-02-01,36,25,19,15,21,20,76,60,136
JESUS DE MACHACA,talla para la edad (t/e),talla normal (t n),2008-02-01,39,50,32,30,75,75,146,155,301
LA PAZ,talla para la edad (t/e),talla normal (t n),2008-02-01,505,526,210,240,289,346,1004,1112,2116
LAJA,talla para la edad (t/e),talla normal (t n),2008-02-01,16,20,9,10,16,20,41,50,91
LAS CARRERAS,talla para la edad (t/e),talla normal (t n),2008-02-01,5,10,6,1,24,11,35,22,57
LICOMA PAMPA,talla para la edad (t/e),talla normal (t n),2008-02-01,9,19,6,13,16,14,31,46,77
LLALLAGUA,talla para la edad (t/e),talla normal (t n),2008-02-01,3,9,3,6,11,11,17,26,43
LLICA,talla para la edad (t/e),talla normal (t n),2008-02-01,9,6,9,5,14,6,32,17,49
LURIBAY,talla para la edad (t/e),talla normal (t n),2008-02-01,15,8,9,14,11,13,35,35,70
MACHACAMARCA,talla para la edad (t/e),talla normal (t n),2008-02-01,12,12,6,4,7,16,25,32,57
MAGDALENA,talla para la edad (t/e),talla normal (t n),2008-02-01,39,44,27,25,38,21,104,90,194
MALLA,talla para la edad (t/e),talla normal (t n),2008-02-01,6,6,0,3,2,3,8,12,20
MECAPACA,talla para la edad (t/e),talla normal (t n),2008-02-01,1,3,0,0,4,4,5,7,12
MIZQUE,talla para la edad (t/e),talla normal (t n),2008-02-01,13,15,10,7,15,7,38,29,67
MOCOMOCO,talla para la edad (t/e),talla normal (t n),2008-02-01,16,20,10,12,17,8,43,40,83
MOJINETE,talla para la edad (t/e),talla normal (t n),2008-02-01,4,3,1,2,2,1,7,6,13
MORO MORO,talla para la edad (t/e),talla normal (t n),2008-02-01,16,16,6,8,20,17,42,41,83
MOROCHATA,talla para la edad (t/e),talla normal (t n),2008-02-01,37,41,16,30,21,24,74,95,169
NAZACARA DE PACAJES,talla para la edad (t/e),talla normal (t n),2008-02-01,1,1,0,1,3,0,4,2,6
OCURI,talla para la edad (t/e),talla normal (t n),2008-02-01,16,12,13,4,8,8,37,24,61
ORURO,talla para la edad (t/e),talla normal (t n),2008-02-01,366,337,186,152,203,164,755,653,1408
PADCAYA,talla para la edad (t/e),talla normal (t n),2008-02-01,16,20,4,13,13,13,33,46,79
PADILLA,talla para la edad (t/e),talla normal (t n),2008-02-01,2,4,2,10,18,13,22,27,49
