municipality,group,variable,month,Cantidad,TOTAL-M
PUNATA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-02-01,1,1
RIBERALTA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-02-01,4,4
SANTA ANA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-02-01,1,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-02-01,34,34
SAPAHAQUI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-02-01,3,3
SORATA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-02-01,1,1
SUCRE,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-02-01,1,1
TARIJA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-02-01,1,1
TOTORA(CBBA),salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-02-01,1,1
TRINIDAD,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-02-01,2,2
YOTALA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-02-01,5,5
ANDAMARCA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,5,5
ASCENCION DE GUARAYOS,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,1,1
CAIROMA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,5,5
CAMIRI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,1,1
COLQUIRI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,3,3
COPACABANA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,4,4
EL ALTO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,27,27
HUACARETA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,5,5
JESUS DE MACHACA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,6,6
LA ASUNTA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,1,1
LA GUARDIA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,1,1
LA PAZ,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,17,17
MONTEAGUDO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,1,1
MOROCHATA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,5,5
POJO (CBBA),salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,1,1
POTOSI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,5,5
PUCARANI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,1,1
PUERTO RICO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,1,1
PUERTO VILLARROEL,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,4,4
PUNATA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,1,1
RIBERALTA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,4,4
SAN IGNACIO DE VELASCO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,34,34
SAN PEDRO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,1,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,14,14
TARIJA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,6,6
TARVITA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,2,2
TIRAQUE (CBBA),salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,6,6
TITO YUPANQUI (PARQUIPUJIO),salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,1,1
TRINIDAD,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,9,9
TURCO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,4,4
VACAS,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,2,2
VALLEGRANDE,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,60,60
VITICHI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,1,1
YAMPARAEZ,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-03-01,1,1
ANDAMARCA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,1,1
ARAMPAMPA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,1,1
CALACOTO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,3,3
CARANAVI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,1,1
CATACORA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,2,2
COLQUIRI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,15,15
COPACABANA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,3,3
CORO CORO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,1,1
COTOCA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,3,3
EL ALTO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,30,30
EL CHORO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,3,3
EL TORNO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,1,1
GUAYARAMERIN,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,1,1
JESUS DE MACHACA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,1,1
LA GUARDIA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,1,1
LA PAZ,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,24,24
MONTEAGUDO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,1,1
OMEREQUE,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,8,8
PALOS BLANCOS,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,4,4
PAZÑA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,4,4
PUNATA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,11,11
QUILLACOLLO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,1,1
SAMAIPATA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,1,1
SAN IGNACIO DE VELASCO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,18,18
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,34,34
SORATA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,2,2
SUCRE,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,4,4
TARABUCO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,2,2
TARIJA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,1,1
TIQUIPAYA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,2,2
TRINIDAD,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,3,3
UNCIA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,8,8
VILLA VACA GUZMAN (MUYUPAMPA),salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-04-01,1,1
ACACIO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,1,1
ASCENCION DE GUARAYOS,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,1,1
CAIROMA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,8,8
CAJUATA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,3,3
CARANAVI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,2,2
CHALLAPATA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,2,2
COCHABAMBA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,5,5
COLQUIRI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,9,9
COPACABANA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,6,6
COROICO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,1,1
COTOCA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,1,1
EL ALTO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,32,32
EL TORNO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,10,10
EUCALIPTUS,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,1,1
GUAYARAMERIN,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,1,1
HUACARETA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,2,2
HUANUNI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,1,1
ICLA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,1,1
INQUISIVI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,3,3
JESUS DE MACHACA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,4,4
LA GUARDIA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,3,3
LA PAZ,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,29,29
MIZQUE,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,1,1
MOCOMOCO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,3,3
MONTEAGUDO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,2,2
OMEREQUE,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,1,1
ORURO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,4,4
POTOSI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,6,6
PUCARANI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,1,1
PUERTO VILLARROEL,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,1,1
PUNATA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,2,2
RIBERALTA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,3,3
SABAYA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,2,2
SACACA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,19,19
SAMAIPATA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,1,1
SAN IGNACIO DE VELASCO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,27,27
SAN JOSE DE CHIQUITOS,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,1,1
SAN RAFAEL,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,3,3
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,36,36
SANTIAGO DE HUARI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,1,1
SUCRE,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,5,5
TAPACARI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,2,2
TIPUANI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,1,1
TIQUIPAYA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,3,3
TORO TORO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,3,3
UNCIA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,14,14
VACAS,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,1,1
VILLAZON,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-05-01,2,2
ANZALDO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,1,1
ASCENCION DE GUARAYOS,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,2,2
CAIROMA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,5,5
CAJUATA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,3,3
CALAMARCA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,2,2
CATACORA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,2,2
CHALLAPATA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,1,1
COCHABAMBA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,2,2
COPACABANA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,1,1
EL ALTO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,57,57
EL CHORO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,4,4
FERNANDEZ ALONSO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,2,2
GUAYARAMERIN,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,1,1
HUANUNI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,7,7
ICHOCA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,1,1
INQUISIVI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,8,8
LA PAZ,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,26,26
LAJA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,1,1
LORETO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,1,1
MOCOMOCO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,2,2
MONTEAGUDO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,3,3
ORURO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,7,7
POCOATA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,1,1
POTOSI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,6,6
PUCARANI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,1,1
PUERTO QUIJARRO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,16,16
PUERTO VILLARROEL,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,2,2
PUNATA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,5,5
RIBERALTA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,1,1
SABAYA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,2,2
SACACA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,15,15
SAN BENITO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,2,2
SAN IGNACIO DE VELASCO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,13,13
SAN JAVIER(BNI),salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,1,1
SAN RAFAEL,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,1,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,37,37
SAPAHAQUI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,4,4
SUCRE,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,4,4
TAPACARI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,1,1
TARIJA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,1,1
TINGUIPAYA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,8,8
TUPIZA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,1,1
TURCO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,2,2
UNCIA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,5,5
VACAS,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,1,1
VALLEGRANDE,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,1,1
VILLAZON,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,6,6
YACUIBA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-06-01,2,2
ACHACACHI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,3,3
ANZALDO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,1,1
ASCENCION DE GUARAYOS,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,2,2
BERMEJO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,1,1
CAIROMA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,2,2
CAJUATA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,7,7
CAPINOTA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,5,5
CHALLAPATA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,2,2
COCHABAMBA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,1,1
COLQUIRI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,16,16
COMARAPA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,1,1
COTOCA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,2,2
EL ALTO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,48,48
EL CHORO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,7,7
EL TORNO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,1,1
FERNANDEZ ALONSO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,1,1
ICHOCA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,3,3
ICLA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,2,2
INQUISIVI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,5,5
LA PAZ,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,12,12
LICOMA PAMPA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,2,2
MOCOMOCO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,1,1
MONTEAGUDO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,1,1
MONTERO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,1,1
ORURO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,20,20
PUERTO VILLARROEL,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,1,1
PUNATA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,3,3
QUIME,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,6,6
RIBERALTA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,6,6
SACABA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,2,2
SACACA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,28,28
SAN ANDRES,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,2,2
SAN BORJA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,4,4
SAN IGNACIO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,1,1
SAN IGNACIO DE VELASCO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,14,14
SAN PABLO DE LIPEZ,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,1,1
SAN RAFAEL,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,1,1
SAN RAMON,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,1,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,40,40
SAPAHAQUI,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,2,2
TINGUIPAYA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,5,5
TIQUIPAYA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,1,1
TIRAQUE (CBBA),salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,2,2
TOLEDO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,1,1
TRINIDAD,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,3,3
TURCO,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,2,2
UNCIA,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),2007-07-01,16,16
