municipality,group,variable,month,Nro.,Nro. Afectados,Nro. Fallecidos,TOTAL
COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-11-01,15.0,0.0,0.0,15.0
COTAGAITA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-11-01,1.0,120.0,0.0,121.0
HUACARETA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-11-01,1.0,0.0,0.0,1.0
SAN LUCAS,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-11-01,1.0,515.0,0.0,516.0
TARVITA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-11-01,1.0,0.0,0.0,1.0
TUPIZA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-11-01,1.0,65.0,0.0,66.0
VILLAZON,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-11-01,5.0,387.0,0.0,392.0
BETANZOS,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-12-01,1.0,74.0,0.0,75.0
CAMATAQUI (C. VILLA ABECIA),registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-12-01,1.0,133.0,0.0,134.0
COCAPATA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-12-01,20.0,0.0,0.0,20.0
EL PUENTE(TJA),registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-12-01,2.0,252.0,0.0,254.0
OCURI,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-12-01,0.0,72.0,0.0,72.0
PADCAYA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-12-01,1.0,0.0,0.0,1.0
PUNA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-12-01,1.0,18.0,0.0,19.0
SAN LUCAS,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-12-01,2.0,15.0,0.0,17.0
VINTO,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-12-01,1.0,0.0,0.0,1.0
YOTALA,registro de eventos de notificacion inmediata,helada/granizo/nevada,2014-12-01,1.0,50.0,0.0,51.0
