municipality,group,variable,month,Cantidad,TOTAL
EL ALTO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,247,247
EL PUENTE(TJA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,1,1
EL TORNO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,13,13
ENTRE RIOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,3,3
ENTRE RIOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,3,3
EUCALIPTUS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,4,4
FERNANDEZ ALONSO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,3,3
GUAQUI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,3,3
HUANUNI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,7,7
JESUS DE MACHACA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,5,5
LA GUARDIA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,35,35
LA PAZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,476,476
MAIRANA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,1,1
MINEROS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,4,4
MONTERO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,20,20
MOROCHATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,1,1
OKINAWA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,2,2
ORURO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,130,130
PADCAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,3,3
PAMPA GRANDE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,3,3
POROMA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,1,1
PORTACHUELO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,2,2
POTOSI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,57,57
PUCARANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,7,7
PUERTO CARABUCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,3,3
PUERTO QUIJARRO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,5,5
PUERTO SUAREZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,6,6
PUERTO VILLARROEL,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,2,2
QUILLACOLLO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,136,136
SACABA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,76,76
SAMAIPATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,7,7
SAN BENITO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,1,1
SAN IGNACIO DE VELASCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,11,11
SAN JUAN DE YAPACANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,3,3
SAN LORENZO(TJA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,3,3
SAN MATIAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,1,1
SAN PEDRO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,1,1
SAN RAMON,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,1,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,568,568
SANTA ROSA DEL SARA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,5,5
SIPE SIPE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,11,11
SUCRE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,149,149
TARABUCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,1,1
TARIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,28,28
TARVITA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,1,1
TIAWANACU,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,1,1
TIPUANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,1,1
TIRAQUE (CBBA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,7,7
TOCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,2,2
TOLATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,5,5
TUPIZA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,9,9
VACAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,2,2
VALLEGRANDE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,7,7
VILLA MONTES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,5,5
VILLA TUNARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,2,2
WARNES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,2,2
YACUIBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,75,75
YAPACANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,10,10
YUNCHARA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-01-01,2,2
ARBIETO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,7,7
AYATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,1,1
BATALLAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,3,3
BERMEJO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,11,11
"CAIZA ""D""",sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,1,1
CAMIRI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,4,4
CAPINOTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,8,8
CARANAVI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,8,8
CARAPARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,4,4
CHALLAPATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,9,9
CHARAÑA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,1,1
CHUMA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,1,1
CLIZA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,2,2
COBIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,9,9
COCHABAMBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,241,241
COLOMI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,10,10
COMARAPA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,3,3
COPACABANA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,6,6
COROICO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,1,1
COTOCA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,17,17
DESAGUADERO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,1,1
EL ALTO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,345,345
EL TORNO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,6,6
EL VILLAR,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,1,1
ENTRE RIOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,1,1
EUCALIPTUS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,4,4
FERNANDEZ ALONSO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,8,8
GUAQUI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,3,3
HUANUNI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,5,5
IXIAMAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,1,1
JESUS DE MACHACA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,6,6
LA GUARDIA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,24,24
LA PAZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,498,498
LAGUNILLAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,1,1
LAJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,1,1
MAGDALENA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,1,1
MAIRANA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,1,1
MAPIRI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,1,1
MINEROS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,3,3
MONTERO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,17,17
MORO MORO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,1,1
ORURO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,119,119
PADCAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,3,3
PAMPA GRANDE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,2,2
PORTACHUELO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,5,5
POTOSI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,59,59
PUCARA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,3,3
PUCARANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,2,2
PUERTO ACOSTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,2,2
PUERTO CARABUCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,1,1
PUERTO PEREZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,2,2
PUERTO QUIJARRO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,5,5
PUERTO SUAREZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,4,4
PUERTO VILLARROEL,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,2,2
PUNATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,16,16
QUILLACOLLO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,42,42
QUIRUSILLAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,1,1
SACABA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,78,78
SAMAIPATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,4,4
SAN CARLOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,3,3
SAN IGNACIO DE VELASCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,2,2
SAN LORENZO(TJA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,3,3
SAN LUCAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,1,1
SAN PEDRO DE TIQUINA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,1,1
SANTA ANA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,1,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,624,624
SANTIAGO DE MACHACA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,6,6
SANTIVAÑES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,1,1
SIPE SIPE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,11,11
SUCRE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,139,139
TARIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,39,39
TARVITA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,2,2
TIAWANACU,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,2,2
TIQUIPAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,26,26
TIRAQUE (CBBA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,6,6
TOCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,4,4
TUPIZA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,5,5
VACAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,4,4
VALLEGRANDE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,6,6
VILLA MONTES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,6,6
VILLA TUNARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,3,3
WARNES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,7,7
YACUIBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,73,73
YAPACANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,3,3
YOTALA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-02-01,4,4
ANZALDO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,1,1
ARBIETO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,9,9
BATALLAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,3,3
BERMEJO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,11,11
"CAIZA ""D""",sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,2,2
CAMIRI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,6,6
CAPINOTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,6,6
CAQUIAVIRI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,1,1
CARANAVI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,4,4
CARAPARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,3,3
CHALLAPATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,6,6
CLIZA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,16,16
COBIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,13,13
COCHABAMBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,348,348
COLOMI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,12,12
COMARAPA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,2,2
COPACABANA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,2,2
COROICO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,1,1
COTOCA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,12,12
DESAGUADERO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,1,1
EL ALTO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,302,302
EL PUENTE(TJA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,1,1
EL TORNO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,15,15
ENTRE RIOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,4,4
EUCALIPTUS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,1,1
FERNANDEZ ALONSO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,2,2
GENERAL SAAVEDRA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,1,1
GUAQUI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,2,2
HUANUNI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,2,2
IRUPANA (VILLA DE LANZA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,1,1
IXIAMAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,2,2
JESUS DE MACHACA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,3,3
LA GUARDIA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,29,29
LA PAZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,536,536
LAJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,2,2
MAIRANA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,1,1
MOJOCOYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,1,1
MONTERO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,29,29
ORURO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,131,131
PADCAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,2,2
PAMPA GRANDE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,3,3
PAPEL PAMPA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,1,1
POCONA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,3,3
PORONGO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,2,2
PORTACHUELO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,5,5
POTOSI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,44,44
PUCARANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,2,2
PUERTO ACOSTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,1,1
PUERTO QUIJARRO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,6,6
PUERTO SUAREZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,7,7
PUERTO VILLARROEL,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,2,2
PUNATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,17,17
QUILLACOLLO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,54,54
QUIME,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,1,1
SACABA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,87,87
SAMAIPATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,4,4
SAN ANDRES DE MACHACA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,2,2
SAN BENITO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,2,2
SAN CARLOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,2,2
SAN IGNACIO DE VELASCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,12,12
SAN LORENZO(TJA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,4,4
SAN RAMON,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,1,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,481,481
SANTA ROSA DEL SARA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,1,1
SANTIVAÑES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,2,2
SIPE SIPE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,5,5
SUCRE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,131,131
TACOPAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,1,1
TARABUCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,4,4
TARATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,3,3
TARIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,46,46
TIAWANACU,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,3,3
TIRAQUE (CBBA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,2,2
TOCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,1,1
TOLATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,3,3
TRIGAL,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,2,2
TUPIZA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,17,17
VACAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,1,1
VALLEGRANDE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,9,9
VILLA MONTES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,20,20
VILLA TUNARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,2,2
WARNES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,2,2
YACUIBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,62,62
YAPACANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,11,11
YOTALA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-03-01,3,3
ACHACACHI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-04-01,10,10
ARBIETO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-04-01,2,2
ARQUE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-04-01,1,1
BATALLAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-04-01,3,3
BERMEJO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-04-01,12,12
BETANZOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-04-01,3,3
CAMIRI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-04-01,8,8
CAPINOTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-04-01,12,12
CAQUIAVIRI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-04-01,3,3
CARANAVI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-04-01,6,6
CARAPARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-04-01,5,5
CHALLAPATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-04-01,4,4
CHARAGUA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-04-01,1,1
CHARAÑA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2006-04-01,1,1
