,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
COCHABAMBA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,3,2,13,11,12,8,22,21,97,60,8,19,155,121,276
"COLCHA ""K""","violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
COLLANA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2
COLOMI,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,1,0,2,0,2,0,3,0,5,2,0,2,13,4,17
COLQUENCHA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,2,1,2,0,5,2,2,2,1,1,12,6,18
COMARAPA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,1,0,2,0,0,0,0,0,5,4,1,0,9,4,13
CONCEPCION,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,1,0,1,0,1,0,1,1,0,0,4,1,5
COROICO,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,1,0,2,0,0,0,3,3
COTOCA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,2,0,5,4,6,3,10,7,23,7,2,1,48,22,70
CUATRO CAÑADAS,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,1,1,0,1,3,1,0,3,4,7
DESAGUADERO,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,2,2,1,3,0,3,7,8,10,18
EL ALTO,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,4,6,39,28,49,40,97,58,248,159,26,15,463,306,769
EL PUENTE(STC),"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,1,1,1,0,1,0,4,2,0,0,7,3,10
EL TORNO,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,1,3,10,3,5,3,4,6,18,13,9,6,47,34,81
EL VILLAR,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,3,0,1,3,0,2,4,5,9
ENTRE RIOS CBBA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,1,0,0,0,3,0,0,0,4,0,4
ESCOMA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,1,1,1,2,0,3,2,5
FERNANDEZ ALONSO,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
HUANUNI,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,2,1,2,0,71,4,1,0,76,5,81
ICLA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,1,0,0,0,3,1,0,2,4,3,7
IXIAMAS,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,1,0,0,0,0,0,1,2,0,0,2,2,4
JESUS DE MACHACA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,2,0,1,0,3,0,3
LA GUARDIA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,2,4,11,15,11,3,20,15,32,23,6,7,82,67,149
LA PAZ,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,1,1,3,1,1,1,38,8,81,48,18,22,142,81,223
LAGUNILLAS,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,1,1,2,1,0,0,3,2,5
LAJA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
MAGDALENA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,0,2,2,0,2,2,4
MAIRANA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3
MALLA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
MAPIRI,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,1,0,0,0,0,0,4,1,0,0,5,1,6
MINEROS,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,2,0,1,0,6,4,9,1,1,1,19,6,25
MIZQUE,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOCOMOCO,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
MOJOCOYA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
MONTEAGUDO,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,10,8,1,1,20,3,29,12,10,8,70,32,102
MONTERO,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,7,2,30,23,14,9,13,3,0,1,1,1,65,39,104
MORO MORO,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
ORURO,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,1,3,17,37,39,45,39,21,6,4,102,110,212
PATACAMAYA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
PAZÑA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
POJO (CBBA),"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
POOPO,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,1,3,0,0,2,2,3,1,1,0,7,6,13
POTOSI,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,1,12,1,33,9,1,3,46,14,60
PUERTO CARABUCO,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,3,0,4,0,0,0,7,0,7
PUERTO PEREZ,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,4,0,0,0,1,3,10,5,6,7,21,15,36
PUERTO SUAREZ,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,6,3,2,3,5,0,10,4,0,1,23,11,34
PUERTO VILLARROEL,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,4,6,4,6,21,9,29,15,3,2,61,38,99
PUNATA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,5,4,14,7,6,3,23,15,36,32,13,22,97,83,180
QUILLACOLLO,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,3,2,2,0,7,0,14,5,2,3,28,10,38
QUIME,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,1,5,0,3,5,8,1,3,3,19,10,29
REYES,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
RIBERALTA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,2,1,9,9,8,8,3,0,1,0,1,0,24,18,42
RURRENABAQUE,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,6,1,3,5,0,0,9,6,15
SACABA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,2,3,18,5,16,9,40,16,72,41,13,9,161,83,244
SAIPINA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,1,1,1,0,0,2,2,3,1,0,0,6,5,11
SAMAIPATA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,2,0,3,2,1,0,4,1,5,2,0,1,15,6,21
SAN ANDRES DE MACHACA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,3,0,3,6,6,6,12
SAN BUENA VENTURA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,1,0,0,0,0,1,5,2,3,1,9,4,13
SAN CARLOS,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,1,0,0,0,4,0,1,1,6,1,12,2,14
SAN IGNACIO,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,1,0,0,0,0,0,2,2,1,1,0,0,4,3,7
SAN IGNACIO DE VELASCO,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,2,3,9,2,1,0,4,2,7,3,6,2,29,12,41
SAN JAVIER(STC),"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2
SAN JUAN DE YAPACANI,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SAN JULIAN,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,1,2,4,3,7,3,10,6,6,5,7,0,35,19,54
SAN MATIAS,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,2,0,0,1,1,0,0,0,0,0,3,1,4
SAN MIGUEL DE VELASCO,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,1,1,0,0,2,0,1,1,0,0,4,2,6
SAN PEDRO,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,2,3,1,0,3,1,3,2,1,0,10,6,16
SAN RAFAEL,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,2,0,0,0,1,0,4,2,0,1,7,3,10
SAN RAMON SCZ,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SANTA ANA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,1,0,0,0,0,1,0,1,1,2,2,4
SANTA CRUZ DE LA SIERRA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,8,9,53,49,63,31,166,87,342,181,32,50,664,407,1071
SANTA ROSA DEL SARA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SANTIAGO DE CALLAPA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,1,0,0,4,1,4,2,6
SAPAHAQUI,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SICA SICA (VILLA AROMA),"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2
SORATA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,1,0,2,1,3,2,0,0,6,3,9
SUCRE,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,7,13,71,29,51,24,77,26,185,61,15,17,406,170,576
TARABUCO,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TARACO,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,0,0,1,2,1,2,3
TARIJA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,1,0,15,5,6,4,16,9,28,11,4,0,70,29,99
TEOPONTE,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
TIAWANACU,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,1,2,1,0,0,2,2,4,6
TIPUANI,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,3,3,0,1,5,0,10,4,2,0,20,8,28
TIQUIPAYA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,1,0,2,0,0,0,3,0,3
TIRAQUE (CBBA),"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
TOLATA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
TOLEDO,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,2,0,4,4,5,2,11,6,17
TORO TORO,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2
UNCIA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
URIONDO (A. CONCEPCION),"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,1,0,0,1,2,0,6,3,1,0,10,4,14
URUBICHA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2
VACAS,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,1,0,0,0,1,0,0,0,2,2,4,2,6
VILLA TUNARI,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,2,0,8,2,2,3,12,5,15,19,4,0,43,29,72
VILLAZON,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2
YACUIBA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,4,1,5,1,6,7,15,9,0,1,30,19,49
YAPACANI,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,1,0,0,0,0,0,1,2,2,0,4,2,6
YUNCHARA,"violencia, hechos de transito y accidentes",accidentes,2014-01-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
ACHACACHI,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,1,3,1,0,1,2,2,5,2,7,2,17,9,26
ALALAY,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCALA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ALTO BENI,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ANCORAIMES,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,6,6,14,13,1,0,3,1,10,7,13,7,47,34,81
ARANI,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,4,3,6,0,5,0,6,0,0,0,21,3,24
ATOCHA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,0,0,5,1,0,0,5,1,6
AYO AYO,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,2,1,2,0,11,7,6,1,21,9,30
BOYUIBE,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
BUENA VISTA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,0,0,2,0,1,0,3,0,3
CAJUATA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,4,0,1,0,0,0,5,0,5
CALACOTO,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,0,1,1,0,3,1,4,2,6
CALAMARCA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,1,4,13,10,3,2,5,2,10,8,4,4,36,30,66
CAMIRI,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CARACOLLO,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
CARAPARI,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
CARMEN RIVERO TORREZ,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
CHALLAPATA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2
CHULUMANI (V. DE LA LIBERTAD),"violencia, hechos de transito y accidentes",accidentes,2014-02-01,1,0,10,1,3,0,2,3,9,8,4,2,29,14,43
COBIJA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,1,8,9,20,2,32,16,67,42,10,5,137,75,212
COCHABAMBA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,1,10,6,5,6,34,16,65,31,11,13,125,73,198
COLLANA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,1,2,0,0,1,0,8,2,6,1,16,5,21
COLOMI,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,1,1,0,3,3,3,0,1,0,8,4,12
COLQUENCHA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,1,0,2,0,0,0,0,1,3,1,4
COMARAPA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,3,1,1,1,5,3,7,3,0,0,16,8,24
COMBAYA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,1,0,0,0,0,0,1,0,1,0,3,3
CONCEPCION,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,2,0,3,1,4,0,1,0,10,1,11
CORIPATA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,1,0,0,0,2,1,1,2,2,0,6,3,9
COROICO,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,2,2,4,4,1,2,8,5,11,5,1,0,27,18,45
COTAGAITA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COTOCA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,1,8,7,9,5,12,2,14,11,2,4,45,30,75
CUATRO CAÑADAS,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,1,0,0,0,1,0,1,0,1,0,4,0,4
CULPINA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,0,1,1,1,1,0,2,2,4
DESAGUADERO,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,1,0,1,0,1,1,2,3,2,4,7,8,15
EL ALTO,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,4,1,26,28,29,21,53,34,147,77,38,34,297,195,492
EL PUENTE(STC),"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,1,1,0,1,0,2,2,1,0,5,3,8
EL PUENTE(TJA),"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
EL TORNO,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,10,9,7,3,12,8,20,16,17,9,66,45,111
EL VILLAR,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,1,0,3,3,2,0,0,0,6,3,9
ESCOMA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,1,0,1,1,0,0,1,0,3,2,6,1,12,4,16
FERNANDEZ ALONSO,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,1,0,0,1,0,2,0,0,0,3,1,4
GENERAL SAAVEDRA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
HUANUNI,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,2,0,1,1,5,1,93,6,4,0,105,8,113
ICLA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,0,1,0,2,0,1,0,4,4
IRUPANA (VILLA DE LANZA),"violencia, hechos de transito y accidentes",accidentes,2014-02-01,2,0,11,6,1,1,1,2,13,4,5,6,33,19,52
IXIAMAS,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,1,0,0,0,8,1,0,0,9,1,10
JESUS DE MACHACA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,2,0,0,0,2,0,2,5,7,5,13,10,23
LA ASUNTA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,2,2,10,5,6,1,8,5,14,11,1,1,41,25,66
LA GUARDIA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,3,4,24,10,10,3,19,9,41,23,4,2,101,51,152
LA PAZ,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,4,2,5,2,28,4,39,36,6,15,82,59,141
LAGUNILLAS,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,1,0,0,1,0,0,0,2,1,2,0,0,2,5,7
LLALLAGUA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
MAGDALENA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,1,0,0,0,0,1,1,0,1,1,3,4
MAIRANA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,1,0,1,0,0,1,2,1,3
MAPIRI,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,2,0,3,0,0,0,5,0,5
MINEROS,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,3,0,1,6,0,8,5,1,0,15,9,24
MIZQUE,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONTEAGUDO,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,1,1,7,1,9,2,3,2,23,13,5,2,48,21,69
MONTERO,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,1,1,22,14,16,11,15,0,3,0,0,0,57,26,83
MOROCHATA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,1,1,0,0,1,0,2,1,3
ORURO,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,2,10,20,26,67,53,44,31,11,7,144,127,271
PADILLA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,0,0,6,1,0,2,6,3,9
POJO (CBBA),"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,2,0,2,1,2,0,6,1,7
POOPO,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,1,2,0,1,0,2,5,1,0,0,6,6,12
POSTRER VALLE,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
POTOSI,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,4,1,2,2,7,0,35,15,0,4,48,22,70
PUERTO CARABUCO,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
PUERTO PEREZ,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,2,0,0,0,1,3,2,1,5,2,10,6,16
PUERTO QUIJARRO,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
PUERTO RICO,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
PUERTO SUAREZ,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,1,1,3,4,3,3,2,20,4,3,2,31,15,46
PUERTO VILLARROEL,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,7,7,6,6,6,2,31,18,5,2,55,35,90
PUNATA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,2,0,5,10,7,5,21,9,59,23,12,16,106,63,169
QUIABAYA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
QUILLACOLLO,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,1,0,0,0,2,1,14,1,1,2,18,4,22
QUIME,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,1,0,2,1,3,0,5,4,5,1,16,6,22
RIBERALTA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,4,0,6,5,7,3,4,1,1,1,0,0,22,10,32
ROBORE,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
RURRENABAQUE,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,1,0,0,0,0,0,1,1,0,0,2,1,3
SACABA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,1,1,10,7,15,8,23,19,64,31,10,4,123,70,193
SAIPINA,"violencia, hechos de transito y accidentes",accidentes,2014-02-01,0,0,2,0,1,0,2,0,2,0,0,0,7,0,7
