municipality,group,variable,month,Cantidad,TOTAL-M
VILLA TUNARI,intoxicaciones,plaguicidas,2007-04-01,7,7
VILLAZON,intoxicaciones,plaguicidas,2007-04-01,2,2
ACHACACHI,intoxicaciones,plaguicidas,2007-05-01,1,1
CAMIRI,intoxicaciones,plaguicidas,2007-05-01,1,1
CARANAVI,intoxicaciones,plaguicidas,2007-05-01,2,2
CHUMA,intoxicaciones,plaguicidas,2007-05-01,1,1
COCHABAMBA,intoxicaciones,plaguicidas,2007-05-01,38,38
COLOMI,intoxicaciones,plaguicidas,2007-05-01,7,7
COMARAPA,intoxicaciones,plaguicidas,2007-05-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2007-05-01,12,12
EL TORNO,intoxicaciones,plaguicidas,2007-05-01,1,1
INCAHUASI,intoxicaciones,plaguicidas,2007-05-01,1,1
LA PAZ,intoxicaciones,plaguicidas,2007-05-01,26,26
LICOMA PAMPA,intoxicaciones,plaguicidas,2007-05-01,1,1
MAIRANA,intoxicaciones,plaguicidas,2007-05-01,2,2
MECAPACA,intoxicaciones,plaguicidas,2007-05-01,1,1
MIZQUE,intoxicaciones,plaguicidas,2007-05-01,1,1
MONTERO,intoxicaciones,plaguicidas,2007-05-01,2,2
OMEREQUE,intoxicaciones,plaguicidas,2007-05-01,1,1
ORURO,intoxicaciones,plaguicidas,2007-05-01,10,10
PUERTO VILLARROEL,intoxicaciones,plaguicidas,2007-05-01,7,7
PUNATA,intoxicaciones,plaguicidas,2007-05-01,5,5
SACABA,intoxicaciones,plaguicidas,2007-05-01,7,7
SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2007-05-01,1,1
SUCRE,intoxicaciones,plaguicidas,2007-05-01,8,8
TARIJA,intoxicaciones,plaguicidas,2007-05-01,5,5
TIQUIPAYA,intoxicaciones,plaguicidas,2007-05-01,1,1
VACAS,intoxicaciones,plaguicidas,2007-05-01,3,3
VALLEGRANDE,intoxicaciones,plaguicidas,2007-05-01,1,1
VILLA TUNARI,intoxicaciones,plaguicidas,2007-05-01,4,4
VILLAZON,intoxicaciones,plaguicidas,2007-05-01,1,1
YUNCHARA,intoxicaciones,plaguicidas,2007-05-01,1,1
ACHACACHI,intoxicaciones,plaguicidas,2007-06-01,2,2
ARQUE,intoxicaciones,plaguicidas,2007-06-01,1,1
CARMEN RIVERO TORREZ,intoxicaciones,plaguicidas,2007-06-01,1,1
CHULUMANI (V. DE LA LIBERTAD),intoxicaciones,plaguicidas,2007-06-01,3,3
COCHABAMBA,intoxicaciones,plaguicidas,2007-06-01,17,17
COLOMI,intoxicaciones,plaguicidas,2007-06-01,1,1
COLQUIRI,intoxicaciones,plaguicidas,2007-06-01,1,1
COMARAPA,intoxicaciones,plaguicidas,2007-06-01,3,3
COPACABANA,intoxicaciones,plaguicidas,2007-06-01,2,2
CORIPATA,intoxicaciones,plaguicidas,2007-06-01,2,2
EL ALTO,intoxicaciones,plaguicidas,2007-06-01,11,11
EL TORNO,intoxicaciones,plaguicidas,2007-06-01,2,2
IRUPANA (VILLA DE LANZA),intoxicaciones,plaguicidas,2007-06-01,1,1
LA ASUNTA,intoxicaciones,plaguicidas,2007-06-01,4,4
LA PAZ,intoxicaciones,plaguicidas,2007-06-01,22,22
MONTERO,intoxicaciones,plaguicidas,2007-06-01,5,5
ORURO,intoxicaciones,plaguicidas,2007-06-01,6,6
PUCARANI,intoxicaciones,plaguicidas,2007-06-01,1,1
PUERTO ACOSTA,intoxicaciones,plaguicidas,2007-06-01,1,1
PUERTO VILLARROEL,intoxicaciones,plaguicidas,2007-06-01,2,2
PUNATA,intoxicaciones,plaguicidas,2007-06-01,2,2
SACABA,intoxicaciones,plaguicidas,2007-06-01,5,5
SAIPINA,intoxicaciones,plaguicidas,2007-06-01,1,1
SAN RAMON,intoxicaciones,plaguicidas,2007-06-01,1,1
SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2007-06-01,2,2
SAPAHAQUI,intoxicaciones,plaguicidas,2007-06-01,1,1
SUCRE,intoxicaciones,plaguicidas,2007-06-01,11,11
TARIJA,intoxicaciones,plaguicidas,2007-06-01,3,3
VALLEGRANDE,intoxicaciones,plaguicidas,2007-06-01,1,1
VILLA RIVERO,intoxicaciones,plaguicidas,2007-06-01,1,1
VILLA TUNARI,intoxicaciones,plaguicidas,2007-06-01,2,2
CARANAVI,intoxicaciones,plaguicidas,2007-07-01,1,1
CHULUMANI (V. DE LA LIBERTAD),intoxicaciones,plaguicidas,2007-07-01,1,1
COCHABAMBA,intoxicaciones,plaguicidas,2007-07-01,24,24
COLOMI,intoxicaciones,plaguicidas,2007-07-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2007-07-01,6,6
LA PAZ,intoxicaciones,plaguicidas,2007-07-01,20,20
ORURO,intoxicaciones,plaguicidas,2007-07-01,13,13
PUCARANI,intoxicaciones,plaguicidas,2007-07-01,2,2
PUNATA,intoxicaciones,plaguicidas,2007-07-01,2,2
SACABA,intoxicaciones,plaguicidas,2007-07-01,3,3
SAIPINA,intoxicaciones,plaguicidas,2007-07-01,1,1
SAMAIPATA,intoxicaciones,plaguicidas,2007-07-01,1,1
SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2007-07-01,1,1
SANTA ROSA DEL SARA,intoxicaciones,plaguicidas,2007-07-01,1,1
SUCRE,intoxicaciones,plaguicidas,2007-07-01,5,5
TARIJA,intoxicaciones,plaguicidas,2007-07-01,2,2
TUPIZA,intoxicaciones,plaguicidas,2007-07-01,3,3
VILLA TUNARI,intoxicaciones,plaguicidas,2007-07-01,4,4
WARNES,intoxicaciones,plaguicidas,2007-07-01,1,1
YACUIBA,intoxicaciones,plaguicidas,2007-07-01,4,4
ACHACACHI,intoxicaciones,plaguicidas,2007-08-01,1,1
BETANZOS,intoxicaciones,plaguicidas,2007-08-01,3,3
CAJUATA,intoxicaciones,plaguicidas,2007-08-01,2,2
CALAMARCA,intoxicaciones,plaguicidas,2007-08-01,1,1
COCHABAMBA,intoxicaciones,plaguicidas,2007-08-01,41,41
COLOMI,intoxicaciones,plaguicidas,2007-08-01,4,4
COMARAPA,intoxicaciones,plaguicidas,2007-08-01,1,1
CORIPATA,intoxicaciones,plaguicidas,2007-08-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2007-08-01,16,16
EL TORNO,intoxicaciones,plaguicidas,2007-08-01,1,1
FERNANDEZ ALONSO,intoxicaciones,plaguicidas,2007-08-01,1,1
ICLA,intoxicaciones,plaguicidas,2007-08-01,1,1
LA ASUNTA,intoxicaciones,plaguicidas,2007-08-01,3,3
LA PAZ,intoxicaciones,plaguicidas,2007-08-01,23,23
LICOMA PAMPA,intoxicaciones,plaguicidas,2007-08-01,1,1
MONTERO,intoxicaciones,plaguicidas,2007-08-01,4,4
MORO MORO,intoxicaciones,plaguicidas,2007-08-01,1,1
ORURO,intoxicaciones,plaguicidas,2007-08-01,11,11
PUERTO CARABUCO,intoxicaciones,plaguicidas,2007-08-01,1,1
PUNATA,intoxicaciones,plaguicidas,2007-08-01,6,6
SACABA,intoxicaciones,plaguicidas,2007-08-01,1,1
SAN PEDRO,intoxicaciones,plaguicidas,2007-08-01,1,1
SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2007-08-01,2,2
SAPAHAQUI,intoxicaciones,plaguicidas,2007-08-01,1,1
SUCRE,intoxicaciones,plaguicidas,2007-08-01,9,9
TACACOMA,intoxicaciones,plaguicidas,2007-08-01,1,1
TARIJA,intoxicaciones,plaguicidas,2007-08-01,12,12
VACAS,intoxicaciones,plaguicidas,2007-08-01,3,3
VALLEGRANDE,intoxicaciones,plaguicidas,2007-08-01,2,2
VILLA TUNARI,intoxicaciones,plaguicidas,2007-08-01,7,7
VILLAZON,intoxicaciones,plaguicidas,2007-08-01,1,1
YUNCHARA,intoxicaciones,plaguicidas,2007-08-01,10,10
BATALLAS,intoxicaciones,plaguicidas,2007-09-01,2,2
CAIROMA,intoxicaciones,plaguicidas,2007-09-01,1,1
CHULUMANI (V. DE LA LIBERTAD),intoxicaciones,plaguicidas,2007-09-01,4,4
COCHABAMBA,intoxicaciones,plaguicidas,2007-09-01,24,24
COLOMI,intoxicaciones,plaguicidas,2007-09-01,2,2
COPACABANA,intoxicaciones,plaguicidas,2007-09-01,2,2
COTOCA,intoxicaciones,plaguicidas,2007-09-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2007-09-01,12,12
LA ASUNTA,intoxicaciones,plaguicidas,2007-09-01,1,1
LA PAZ,intoxicaciones,plaguicidas,2007-09-01,20,20
MAIRANA,intoxicaciones,plaguicidas,2007-09-01,3,3
MONTERO,intoxicaciones,plaguicidas,2007-09-01,1,1
ORURO,intoxicaciones,plaguicidas,2007-09-01,11,11
PUNATA,intoxicaciones,plaguicidas,2007-09-01,6,6
RURRENABAQUE,intoxicaciones,plaguicidas,2007-09-01,1,1
SACABA,intoxicaciones,plaguicidas,2007-09-01,1,1
SAN CARLOS,intoxicaciones,plaguicidas,2007-09-01,1,1
SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2007-09-01,2,2
SAPAHAQUI,intoxicaciones,plaguicidas,2007-09-01,2,2
SUCRE,intoxicaciones,plaguicidas,2007-09-01,4,4
TARABUCO,intoxicaciones,plaguicidas,2007-09-01,2,2
TARIJA,intoxicaciones,plaguicidas,2007-09-01,4,4
TUPIZA,intoxicaciones,plaguicidas,2007-09-01,2,2
VILLA TUNARI,intoxicaciones,plaguicidas,2007-09-01,9,9
BETANZOS,intoxicaciones,plaguicidas,2007-10-01,3,3
CHULUMANI (V. DE LA LIBERTAD),intoxicaciones,plaguicidas,2007-10-01,3,3
COCHABAMBA,intoxicaciones,plaguicidas,2007-10-01,25,25
COLOMI,intoxicaciones,plaguicidas,2007-10-01,2,2
COTOCA,intoxicaciones,plaguicidas,2007-10-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2007-10-01,17,17
FERNANDEZ ALONSO,intoxicaciones,plaguicidas,2007-10-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),intoxicaciones,plaguicidas,2007-10-01,1,1
GUANAY,intoxicaciones,plaguicidas,2007-10-01,1,1
LA ASUNTA,intoxicaciones,plaguicidas,2007-10-01,3,3
LA PAZ,intoxicaciones,plaguicidas,2007-10-01,28,28
LICOMA PAMPA,intoxicaciones,plaguicidas,2007-10-01,1,1
LURIBAY,intoxicaciones,plaguicidas,2007-10-01,1,1
MAIRANA,intoxicaciones,plaguicidas,2007-10-01,3,3
MIZQUE,intoxicaciones,plaguicidas,2007-10-01,1,1
MONTERO,intoxicaciones,plaguicidas,2007-10-01,8,8
ORURO,intoxicaciones,plaguicidas,2007-10-01,8,8
POCONA,intoxicaciones,plaguicidas,2007-10-01,1,1
PUCARANI,intoxicaciones,plaguicidas,2007-10-01,7,7
PUERTO RICO,intoxicaciones,plaguicidas,2007-10-01,1,1
PUNATA,intoxicaciones,plaguicidas,2007-10-01,4,4
SACABA,intoxicaciones,plaguicidas,2007-10-01,7,7
SAN PEDRO,intoxicaciones,plaguicidas,2007-10-01,1,1
SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2007-10-01,2,2
SUCRE,intoxicaciones,plaguicidas,2007-10-01,8,8
TARIJA,intoxicaciones,plaguicidas,2007-10-01,10,10
VACAS,intoxicaciones,plaguicidas,2007-10-01,1,1
VILLA TUNARI,intoxicaciones,plaguicidas,2007-10-01,2,2
CAIROMA,intoxicaciones,plaguicidas,2007-11-01,1,1
COCHABAMBA,intoxicaciones,plaguicidas,2007-11-01,29,29
COLOMI,intoxicaciones,plaguicidas,2007-11-01,3,3
COPACABANA,intoxicaciones,plaguicidas,2007-11-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2007-11-01,15,15
IRUPANA (VILLA DE LANZA),intoxicaciones,plaguicidas,2007-11-01,1,1
LA PAZ,intoxicaciones,plaguicidas,2007-11-01,18,18
LICOMA PAMPA,intoxicaciones,plaguicidas,2007-11-01,1,1
MONTERO,intoxicaciones,plaguicidas,2007-11-01,14,14
ORURO,intoxicaciones,plaguicidas,2007-11-01,9,9
PADCAYA,intoxicaciones,plaguicidas,2007-11-01,1,1
PUCARANI,intoxicaciones,plaguicidas,2007-11-01,1,1
PUERTO CARABUCO,intoxicaciones,plaguicidas,2007-11-01,1,1
PUERTO SUAREZ,intoxicaciones,plaguicidas,2007-11-01,1,1
PUNATA,intoxicaciones,plaguicidas,2007-11-01,10,10
SACABA,intoxicaciones,plaguicidas,2007-11-01,2,2
SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2007-11-01,2,2
SUCRE,intoxicaciones,plaguicidas,2007-11-01,3,3
TARIJA,intoxicaciones,plaguicidas,2007-11-01,5,5
TIRAQUE (CBBA),intoxicaciones,plaguicidas,2007-11-01,1,1
VACAS,intoxicaciones,plaguicidas,2007-11-01,4,4
VILLA TUNARI,intoxicaciones,plaguicidas,2007-11-01,9,9
BATALLAS,intoxicaciones,plaguicidas,2007-12-01,1,1
BETANZOS,intoxicaciones,plaguicidas,2007-12-01,2,2
CABEZAS,intoxicaciones,plaguicidas,2007-12-01,1,1
CHALLAPATA,intoxicaciones,plaguicidas,2007-12-01,1,1
CHUMA,intoxicaciones,plaguicidas,2007-12-01,1,1
COCHABAMBA,intoxicaciones,plaguicidas,2007-12-01,25,25
COLOMI,intoxicaciones,plaguicidas,2007-12-01,1,1
COPACABANA,intoxicaciones,plaguicidas,2007-12-01,1,1
CORIPATA,intoxicaciones,plaguicidas,2007-12-01,2,2
COTOCA,intoxicaciones,plaguicidas,2007-12-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2007-12-01,13,13
LA ASUNTA,intoxicaciones,plaguicidas,2007-12-01,3,3
LA PAZ,intoxicaciones,plaguicidas,2007-12-01,20,20
MAIRANA,intoxicaciones,plaguicidas,2007-12-01,2,2
MONTERO,intoxicaciones,plaguicidas,2007-12-01,3,3
ORURO,intoxicaciones,plaguicidas,2007-12-01,8,8
PUCARANI,intoxicaciones,plaguicidas,2007-12-01,1,1
PUERTO CARABUCO,intoxicaciones,plaguicidas,2007-12-01,2,2
PUNATA,intoxicaciones,plaguicidas,2007-12-01,6,6
SACABA,intoxicaciones,plaguicidas,2007-12-01,2,2
SAN IGNACIO,intoxicaciones,plaguicidas,2007-12-01,1,1
SAN IGNACIO DE VELASCO,intoxicaciones,plaguicidas,2007-12-01,1,1
SAN PEDRO,intoxicaciones,plaguicidas,2007-12-01,1,1
SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2007-12-01,2,2
SUCRE,intoxicaciones,plaguicidas,2007-12-01,6,6
TARIJA,intoxicaciones,plaguicidas,2007-12-01,9,9
VACAS,intoxicaciones,plaguicidas,2007-12-01,1,1
VILLA TUNARI,intoxicaciones,plaguicidas,2007-12-01,14,14
VILLAZON,intoxicaciones,plaguicidas,2007-12-01,2,2
