,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,TOTALES,TOTALES,TOTALES
MACHACAMARCA,talla para la edad (t/e),talla normal (t n),2009-01-01,26,32,16,11,9,16,51,59,110
MACHARETI,talla para la edad (t/e),talla normal (t n),2009-01-01,77,53,48,50,115,115,240,218,458
MAGDALENA,talla para la edad (t/e),talla normal (t n),2009-01-01,70,44,19,32,48,33,137,109,246
MAIRANA,talla para la edad (t/e),talla normal (t n),2009-01-01,61,70,36,30,45,52,142,152,294
MALLA,talla para la edad (t/e),talla normal (t n),2009-01-01,8,24,7,5,12,18,27,47,74
MAPIRI,talla para la edad (t/e),talla normal (t n),2009-01-01,82,47,29,26,43,22,154,95,249
MECAPACA,talla para la edad (t/e),talla normal (t n),2009-01-01,34,37,17,26,22,28,73,91,164
MINEROS,talla para la edad (t/e),talla normal (t n),2009-01-01,87,64,46,61,71,71,204,196,400
MIZQUE,talla para la edad (t/e),talla normal (t n),2009-01-01,87,64,64,71,116,136,267,271,538
MOCOMOCO,talla para la edad (t/e),talla normal (t n),2009-01-01,26,35,13,12,25,21,64,68,132
MOJINETE,talla para la edad (t/e),talla normal (t n),2009-01-01,2,5,1,0,2,3,5,8,13
MOJOCOYA,talla para la edad (t/e),talla normal (t n),2009-01-01,44,32,23,32,95,81,162,145,307
MONTEAGUDO,talla para la edad (t/e),talla normal (t n),2009-01-01,181,170,192,186,210,202,583,558,1141
MONTERO,talla para la edad (t/e),talla normal (t n),2009-01-01,458,389,260,247,389,348,1107,984,2091
MORO MORO,talla para la edad (t/e),talla normal (t n),2009-01-01,14,12,12,8,19,24,45,44,89
MOROCHATA,talla para la edad (t/e),talla normal (t n),2009-01-01,127,122,88,92,90,73,305,287,592
NACEBE (SANTA ROSA DEL ABUNA),talla para la edad (t/e),talla normal (t n),2009-01-01,14,12,17,6,22,20,53,38,91
NUEVO MANOA (NUEVA ESPERANZA),talla para la edad (t/e),talla normal (t n),2009-01-01,2,1,1,0,3,0,6,1,7
OCURI,talla para la edad (t/e),talla normal (t n),2009-01-01,93,85,76,65,54,48,223,198,421
OMEREQUE,talla para la edad (t/e),talla normal (t n),2009-01-01,32,16,14,14,17,18,63,48,111
ORURO,talla para la edad (t/e),talla normal (t n),2009-01-01,860,692,463,459,410,312,1733,1463,3196
PADCAYA,talla para la edad (t/e),talla normal (t n),2009-01-01,97,85,139,132,74,69,310,286,596
PADILLA,talla para la edad (t/e),talla normal (t n),2009-01-01,80,76,59,80,146,177,285,333,618
PAILON,talla para la edad (t/e),talla normal (t n),2009-01-01,103,134,75,61,123,93,301,288,589
PALCA,talla para la edad (t/e),talla normal (t n),2009-01-01,34,28,13,23,18,26,65,77,142
PALOS BLANCOS,talla para la edad (t/e),talla normal (t n),2009-01-01,115,126,114,64,126,110,355,300,655
PAMPA AULLAGAS,talla para la edad (t/e),talla normal (t n),2009-01-01,15,16,6,6,16,6,37,28,65
PAMPA GRANDE,talla para la edad (t/e),talla normal (t n),2009-01-01,28,28,18,19,30,38,76,85,161
PAPEL PAMPA,talla para la edad (t/e),talla normal (t n),2009-01-01,5,10,5,7,2,5,12,22,34
PASORAPA,talla para la edad (t/e),talla normal (t n),2009-01-01,14,9,15,10,16,19,45,38,83
PATACAMAYA,talla para la edad (t/e),talla normal (t n),2009-01-01,41,49,18,19,30,26,89,94,183
PAZÑA,talla para la edad (t/e),talla normal (t n),2009-01-01,42,19,19,35,11,30,72,84,156
PELECHUCO,talla para la edad (t/e),talla normal (t n),2009-01-01,26,23,12,8,29,14,67,45,112
POCOATA,talla para la edad (t/e),talla normal (t n),2009-01-01,101,121,96,94,386,55,583,270,853
POCONA,talla para la edad (t/e),talla normal (t n),2009-01-01,34,50,22,17,36,32,92,99,191
POJO (CBBA),talla para la edad (t/e),talla normal (t n),2009-01-01,57,48,54,32,50,38,161,118,279
POOPO,talla para la edad (t/e),talla normal (t n),2009-01-01,44,32,15,29,14,15,73,76,149
PORCO,talla para la edad (t/e),talla normal (t n),2009-01-01,71,58,30,40,11,17,112,115,227
POROMA,talla para la edad (t/e),talla normal (t n),2009-01-01,46,36,34,27,59,39,139,102,241
PORONGO,talla para la edad (t/e),talla normal (t n),2009-01-01,36,36,34,34,46,50,116,120,236
PORTACHUELO,talla para la edad (t/e),talla normal (t n),2009-01-01,99,102,66,62,113,77,278,241,519
PORVENIR,talla para la edad (t/e),talla normal (t n),2009-01-01,57,31,33,36,40,38,130,105,235
POSTRER VALLE,talla para la edad (t/e),talla normal (t n),2009-01-01,13,8,5,11,9,7,27,26,53
POTOSI,talla para la edad (t/e),talla normal (t n),2009-01-01,987,942,354,382,462,468,1803,1792,3595
PRESTO,talla para la edad (t/e),talla normal (t n),2009-01-01,55,54,44,51,77,77,176,182,358
PUCARA,talla para la edad (t/e),talla normal (t n),2009-01-01,6,8,9,6,14,11,29,25,54
PUCARANI,talla para la edad (t/e),talla normal (t n),2009-01-01,113,119,42,47,48,56,203,222,425
PUERTO ACOSTA,talla para la edad (t/e),talla normal (t n),2009-01-01,45,34,15,16,19,24,79,74,153
PUERTO CARABUCO,talla para la edad (t/e),talla normal (t n),2009-01-01,48,47,25,20,38,22,111,89,200
PUERTO GONZALO MORENO,talla para la edad (t/e),talla normal (t n),2009-01-01,28,16,13,28,131,43,172,87,259
PUERTO PEREZ,talla para la edad (t/e),talla normal (t n),2009-01-01,14,22,19,12,30,29,63,63,126
PUERTO QUIJARRO,talla para la edad (t/e),talla normal (t n),2009-01-01,92,91,16,32,19,29,127,152,279
PUERTO RICO,talla para la edad (t/e),talla normal (t n),2009-01-01,35,41,39,32,24,26,98,99,197
PUERTO SILES,talla para la edad (t/e),talla normal (t n),2009-01-01,13,3,4,7,1,4,18,14,32
PUERTO SUAREZ,talla para la edad (t/e),talla normal (t n),2009-01-01,75,73,24,20,22,26,121,119,240
PUERTO VILLARROEL,talla para la edad (t/e),talla normal (t n),2009-01-01,304,241,166,154,202,193,672,588,1260
PUNA,talla para la edad (t/e),talla normal (t n),2009-01-01,114,109,91,101,85,87,290,297,587
PUNATA,talla para la edad (t/e),talla normal (t n),2009-01-01,257,224,139,106,96,88,492,418,910
QUIABAYA,talla para la edad (t/e),talla normal (t n),2009-01-01,7,11,5,6,12,10,24,27,51
QUILLACOLLO,talla para la edad (t/e),talla normal (t n),2009-01-01,384,257,172,141,174,179,730,577,1307
QUIME,talla para la edad (t/e),talla normal (t n),2009-01-01,63,50,40,33,37,40,140,123,263
QUIRUSILLAS,talla para la edad (t/e),talla normal (t n),2009-01-01,6,8,3,3,9,10,18,21,39
RAVELO,talla para la edad (t/e),talla normal (t n),2009-01-01,43,64,33,31,49,33,125,128,253
REYES,talla para la edad (t/e),talla normal (t n),2009-01-01,59,74,49,45,48,63,156,182,338
RIBERALTA,talla para la edad (t/e),talla normal (t n),2009-01-01,698,643,516,452,439,401,1653,1496,3149
ROBORE,talla para la edad (t/e),talla normal (t n),2009-01-01,82,89,52,38,36,32,170,159,329
RURRENABAQUE,talla para la edad (t/e),talla normal (t n),2009-01-01,2,1,5,2,4,1,11,4,15
SABAYA,talla para la edad (t/e),talla normal (t n),2009-01-01,13,22,8,13,10,10,31,45,76
SACABA,talla para la edad (t/e),talla normal (t n),2009-01-01,714,583,339,317,345,326,1398,1226,2624
SACABAMBA,talla para la edad (t/e),talla normal (t n),2009-01-01,33,29,27,20,28,24,88,73,161
SACACA,talla para la edad (t/e),talla normal (t n),2009-01-01,63,68,26,47,67,68,156,183,339
SAIPINA,talla para la edad (t/e),talla normal (t n),2009-01-01,37,39,21,17,21,19,79,75,154
SALINAS DE GARCI MENDOZA,talla para la edad (t/e),talla normal (t n),2009-01-01,44,42,54,37,32,38,130,117,247
SAMAIPATA,talla para la edad (t/e),talla normal (t n),2009-01-01,53,48,29,10,33,22,115,80,195
SAN AGUSTIN,talla para la edad (t/e),talla normal (t n),2009-01-01,6,5,2,6,4,5,12,16,28
SAN ANDRES,talla para la edad (t/e),talla normal (t n),2009-01-01,47,55,55,35,68,45,170,135,305
SAN ANDRES DE MACHACA,talla para la edad (t/e),talla normal (t n),2009-01-01,7,19,13,11,5,14,25,44,69
SAN ANTONIO DE ESMORUCO,talla para la edad (t/e),talla normal (t n),2009-01-01,9,11,4,3,4,8,17,22,39
SAN ANTONIO DE LOMERIO,talla para la edad (t/e),talla normal (t n),2009-01-01,67,53,31,53,120,128,218,234,452
SAN BENITO,talla para la edad (t/e),talla normal (t n),2009-01-01,36,36,22,19,31,46,89,101,190
SAN BORJA,talla para la edad (t/e),talla normal (t n),2009-01-01,302,295,125,151,183,180,610,626,1236
SAN BUENA VENTURA,talla para la edad (t/e),talla normal (t n),2009-01-01,67,54,39,49,58,66,164,169,333
SAN CARLOS,talla para la edad (t/e),talla normal (t n),2009-01-01,159,89,52,44,49,51,260,184,444
SAN IGNACIO,talla para la edad (t/e),talla normal (t n),2009-01-01,62,46,52,52,74,58,188,156,344
SAN IGNACIO DE VELASCO,talla para la edad (t/e),talla normal (t n),2009-01-01,56,70,61,33,91,92,208,195,403
SAN JAVIER(BNI),talla para la edad (t/e),talla normal (t n),2009-01-01,9,5,12,10,13,7,34,22,56
SAN JAVIER(STC),talla para la edad (t/e),talla normal (t n),2009-01-01,63,61,37,34,70,66,170,161,331
SAN JOAQUIN,talla para la edad (t/e),talla normal (t n),2009-01-01,23,46,21,18,20,27,64,91,155
SAN JOSE DE CHIQUITOS,talla para la edad (t/e),talla normal (t n),2009-01-01,94,72,35,41,88,75,217,188,405
SAN JUAN DE YAPACANI,talla para la edad (t/e),talla normal (t n),2009-01-01,95,17,26,15,29,21,150,53,203
SAN JULIAN,talla para la edad (t/e),talla normal (t n),2009-01-01,31,21,26,29,17,20,74,70,144
SAN LORENZO(PND),talla para la edad (t/e),talla normal (t n),2009-01-01,10,3,7,14,8,6,25,23,48
SAN LORENZO(TJA),talla para la edad (t/e),talla normal (t n),2009-01-01,125,89,98,102,86,89,309,280,589
SAN LUCAS,talla para la edad (t/e),talla normal (t n),2009-01-01,318,231,177,189,330,292,825,712,1537
SAN MATIAS,talla para la edad (t/e),talla normal (t n),2009-01-01,78,54,24,30,25,29,127,113,240
SAN MIGUEL DE VELASCO,talla para la edad (t/e),talla normal (t n),2009-01-01,15,21,14,13,16,12,45,46,91
SAN PABLO DE LIPEZ,talla para la edad (t/e),talla normal (t n),2009-01-01,12,20,6,9,19,14,37,43,80
SAN PEDRO,talla para la edad (t/e),talla normal (t n),2009-01-01,90,83,44,42,79,81,213,206,419
SAN PEDRO DE BUENA VISTA,talla para la edad (t/e),talla normal (t n),2009-01-01,53,60,43,53,58,56,154,169,323
SAN PEDRO DE CURAHUARA,talla para la edad (t/e),talla normal (t n),2009-01-01,26,18,10,9,15,13,51,40,91
SAN PEDRO DE QUEMES,talla para la edad (t/e),talla normal (t n),2009-01-01,0,1,0,2,0,0,0,3,3
SAN PEDRO DE TIQUINA,talla para la edad (t/e),talla normal (t n),2009-01-01,23,18,12,6,12,19,47,43,90
SAN PEDRO(PND),talla para la edad (t/e),talla normal (t n),2009-01-01,7,5,4,2,3,3,14,10,24
SAN RAFAEL,talla para la edad (t/e),talla normal (t n),2009-01-01,5,4,5,6,14,9,24,19,43
SAN RAMON,talla para la edad (t/e),talla normal (t n),2009-01-01,12,22,10,8,19,17,41,47,88
SANTA ANA,talla para la edad (t/e),talla normal (t n),2009-01-01,166,107,95,90,62,69,323,266,589
SANTA CRUZ DE LA SIERRA,talla para la edad (t/e),talla normal (t n),2009-01-01,3329,2928,3437,1505,1617,1444,8383,5877,14260
SANTA ROSA,talla para la edad (t/e),talla normal (t n),2009-01-01,70,77,58,45,72,87,200,209,409
SANTIAGO DE CALLAPA,talla para la edad (t/e),talla normal (t n),2009-01-01,13,15,5,10,3,9,21,34,55
SANTIAGO DE HUARI,talla para la edad (t/e),talla normal (t n),2009-01-01,18,32,30,26,38,45,86,103,189
SANTIAGO DE MACHACA,talla para la edad (t/e),talla normal (t n),2009-01-01,14,10,7,4,8,12,29,26,55
SANTIVAÑES,talla para la edad (t/e),talla normal (t n),2009-01-01,0,4,1,1,5,8,6,13,19
SANTUARIO DE QUILLACAS,talla para la edad (t/e),talla normal (t n),2009-01-01,13,11,5,13,17,17,35,41,76
SAPAHAQUI,talla para la edad (t/e),talla normal (t n),2009-01-01,40,32,11,17,33,26,84,75,159
SENA,talla para la edad (t/e),talla normal (t n),2009-01-01,21,19,16,24,16,21,53,64,117
SICA SICA (VILLA AROMA),talla para la edad (t/e),talla normal (t n),2009-01-01,107,97,66,65,88,81,261,243,504
SICAYA,talla para la edad (t/e),talla normal (t n),2009-01-01,8,3,1,1,1,3,10,7,17
SIPE SIPE,talla para la edad (t/e),talla normal (t n),2009-01-01,162,134,108,91,67,68,337,293,630
SOPACHUY,talla para la edad (t/e),talla normal (t n),2009-01-01,54,71,49,56,80,64,183,191,374
SORACACHI,talla para la edad (t/e),talla normal (t n),2009-01-01,56,41,30,35,38,36,124,112,236
SORATA,talla para la edad (t/e),talla normal (t n),2009-01-01,1,2,0,1,5,1,6,4,10
SUCRE,talla para la edad (t/e),talla normal (t n),2009-01-01,511,489,287,275,387,395,1185,1159,2344
