municipality,group,variable,month,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
PUERTO RICO,desnutricion global,desnutricion leve (l),2005-01-01,4,3,6,6,10,9,19
PUERTO SILES,desnutricion global,desnutricion leve (l),2005-01-01,0,0,1,0,1,0,1
PUERTO VILLARROEL,desnutricion global,desnutricion leve (l),2005-01-01,104,90,90,81,194,171,365
PUNA,desnutricion global,desnutricion leve (l),2005-01-01,39,43,52,56,91,99,190
PUNATA,desnutricion global,desnutricion leve (l),2005-01-01,34,33,27,31,61,64,125
QUIABAYA,desnutricion global,desnutricion leve (l),2005-01-01,8,1,5,10,13,11,24
QUILLACOLLO,desnutricion global,desnutricion leve (l),2005-01-01,37,46,27,45,64,91,155
QUIME,desnutricion global,desnutricion leve (l),2005-01-01,17,13,43,45,60,58,118
QUIRUSILLAS,desnutricion global,desnutricion leve (l),2005-01-01,0,3,5,6,5,9,14
RAVELO,desnutricion global,desnutricion leve (l),2005-01-01,42,20,50,9,92,29,121
REYES,desnutricion global,desnutricion leve (l),2005-01-01,28,24,18,25,46,49,95
RIBERALTA,desnutricion global,desnutricion leve (l),2005-01-01,108,210,122,142,230,352,582
ROBORE,desnutricion global,desnutricion leve (l),2005-01-01,0,37,41,0,41,37,78
RURRENABAQUE,desnutricion global,desnutricion leve (l),2005-01-01,13,25,5,8,18,33,51
SABAYA,desnutricion global,desnutricion leve (l),2005-01-01,3,2,2,5,5,7,12
SACABA,desnutricion global,desnutricion leve (l),2005-01-01,62,55,47,60,109,115,224
SACABAMBA,desnutricion global,desnutricion leve (l),2005-01-01,2,4,0,0,2,4,6
SAIPINA,desnutricion global,desnutricion leve (l),2005-01-01,13,7,4,6,17,13,30
SALINAS DE GARCI MENDOZA,desnutricion global,desnutricion leve (l),2005-01-01,12,15,19,16,31,31,62
SAMAIPATA,desnutricion global,desnutricion leve (l),2005-01-01,25,0,23,1,48,1,49
SAN AGUSTIN,desnutricion global,desnutricion leve (l),2005-01-01,0,2,1,2,1,4,5
SAN ANDRES,desnutricion global,desnutricion leve (l),2005-01-01,5,6,11,1,16,7,23
SAN ANDRES DE MACHACA,desnutricion global,desnutricion leve (l),2005-01-01,5,6,7,5,12,11,23
SAN ANTONIO DE ESMORUCO,desnutricion global,desnutricion leve (l),2005-01-01,3,3,1,2,4,5,9
SAN ANTONIO DE LOMERIO,desnutricion global,desnutricion leve (l),2005-01-01,41,34,48,45,89,79,168
SAN BENITO,desnutricion global,desnutricion leve (l),2005-01-01,9,7,4,7,13,14,27
SAN BORJA,desnutricion global,desnutricion leve (l),2005-01-01,64,66,55,54,119,120,239
SAN BUENA VENTURA,desnutricion global,desnutricion leve (l),2005-01-01,9,18,18,22,27,40,67
SAN CARLOS,desnutricion global,desnutricion leve (l),2005-01-01,44,12,17,9,61,21,82
SAN IGNACIO,desnutricion global,desnutricion leve (l),2005-01-01,52,35,66,45,118,80,198
SAN IGNACIO DE VELASCO,desnutricion global,desnutricion leve (l),2005-01-01,114,99,105,107,219,206,425
SAN JAVIER(BNI),desnutricion global,desnutricion leve (l),2005-01-01,2,8,11,11,13,19,32
SAN JAVIER(STC),desnutricion global,desnutricion leve (l),2005-01-01,18,0,40,0,58,0,58
SAN JOAQUIN,desnutricion global,desnutricion leve (l),2005-01-01,3,4,5,9,8,13,21
SAN JOSE DE CHIQUITOS,desnutricion global,desnutricion leve (l),2005-01-01,24,19,10,8,34,27,61
SAN JUAN DE YAPACANI,desnutricion global,desnutricion leve (l),2005-01-01,7,9,16,12,23,21,44
SAN JULIAN,desnutricion global,desnutricion leve (l),2005-01-01,40,6,37,6,77,12,89
SAN LORENZO(PND),desnutricion global,desnutricion leve (l),2005-01-01,6,3,2,2,8,5,13
SAN LORENZO(TJA),desnutricion global,desnutricion leve (l),2005-01-01,37,33,52,46,89,79,168
SAN LUCAS,desnutricion global,desnutricion leve (l),2005-01-01,184,189,226,252,410,441,851
SAN MIGUEL DE VELASCO,desnutricion global,desnutricion leve (l),2005-01-01,33,27,39,39,72,66,138
SAN PABLO DE LIPEZ,desnutricion global,desnutricion leve (l),2005-01-01,9,7,5,5,14,12,26
SAN PEDRO,desnutricion global,desnutricion leve (l),2005-01-01,34,25,31,39,65,64,129
SAN PEDRO DE BUENA VISTA,desnutricion global,desnutricion leve (l),2005-01-01,38,40,53,52,91,92,183
SAN PEDRO DE CURAHUARA,desnutricion global,desnutricion leve (l),2005-01-01,10,7,13,12,23,19,42
SAN PEDRO DE QUEMES,desnutricion global,desnutricion leve (l),2005-01-01,0,0,0,1,0,1,1
SAN PEDRO DE TIQUINA,desnutricion global,desnutricion leve (l),2005-01-01,6,7,3,5,9,12,21
SAN PEDRO(PND),desnutricion global,desnutricion leve (l),2005-01-01,4,5,0,0,4,5,9
SAN RAFAEL,desnutricion global,desnutricion leve (l),2005-01-01,16,13,11,6,27,19,46
SAN RAMON,desnutricion global,desnutricion leve (l),2005-01-01,4,8,4,2,8,10,18
SAN RAMON,desnutricion global,desnutricion leve (l),2005-01-01,19,0,26,3,45,3,48
SANTA ANA,desnutricion global,desnutricion leve (l),2005-01-01,15,22,11,12,26,34,60
SANTA CRUZ DE LA SIERRA,desnutricion global,desnutricion leve (l),2005-01-01,1657,1114,602,539,2259,1653,3912
SANTA ROSA,desnutricion global,desnutricion leve (l),2005-01-01,13,8,2,3,15,11,26
SANTA ROSA DEL SARA,desnutricion global,desnutricion leve (l),2005-01-01,20,19,16,20,36,39,75
SANTIAGO DE CALLAPA,desnutricion global,desnutricion leve (l),2005-01-01,11,13,18,7,29,20,49
SANTIAGO DE HUARI,desnutricion global,desnutricion leve (l),2005-01-01,11,8,10,9,21,17,38
SANTIAGO DE MACHACA,desnutricion global,desnutricion leve (l),2005-01-01,9,1,1,9,10,10,20
SANTIVAÑES,desnutricion global,desnutricion leve (l),2005-01-01,13,9,8,9,21,18,39
SANTUARIO DE QUILLACAS,desnutricion global,desnutricion leve (l),2005-01-01,5,4,8,6,13,10,23
SAPAHAQUI,desnutricion global,desnutricion leve (l),2005-01-01,10,10,10,16,20,26,46
SENA,desnutricion global,desnutricion leve (l),2005-01-01,3,2,3,3,6,5,11
SICA SICA (VILLA AROMA),desnutricion global,desnutricion leve (l),2005-01-01,32,44,40,45,72,89,161
SICAYA,desnutricion global,desnutricion leve (l),2005-01-01,3,4,1,2,4,6,10
SIPE SIPE,desnutricion global,desnutricion leve (l),2005-01-01,63,50,41,33,104,83,187
SOPACHUY,desnutricion global,desnutricion leve (l),2005-01-01,27,31,44,72,71,103,174
SORACACHI,desnutricion global,desnutricion leve (l),2005-01-01,8,4,24,8,32,12,44
SORATA,desnutricion global,desnutricion leve (l),2005-01-01,31,25,42,43,73,68,141
SUCRE,desnutricion global,desnutricion leve (l),2005-01-01,166,138,162,147,328,285,613
TACACHI,desnutricion global,desnutricion leve (l),2005-01-01,4,5,5,0,9,5,14
TACACOMA,desnutricion global,desnutricion leve (l),2005-01-01,7,8,6,6,13,14,27
TACOBAMBA,desnutricion global,desnutricion leve (l),2005-01-01,4,1,6,1,10,2,12
TACOPAYA,desnutricion global,desnutricion leve (l),2005-01-01,19,21,19,24,38,45,83
TAHUA,desnutricion global,desnutricion leve (l),2005-01-01,1,0,2,2,3,2,5
TAPACARI,desnutricion global,desnutricion leve (l),2005-01-01,63,50,33,21,96,71,167
TARABUCO,desnutricion global,desnutricion leve (l),2005-01-01,125,94,231,216,356,310,666
TARACO,desnutricion global,desnutricion leve (l),2005-01-01,7,9,9,7,16,16,32
TARATA,desnutricion global,desnutricion leve (l),2005-01-01,18,14,11,14,29,28,57
TARIJA,desnutricion global,desnutricion leve (l),2005-01-01,152,189,139,125,291,314,605
TARVITA,desnutricion global,desnutricion leve (l),2005-01-01,61,74,120,162,181,236,417
TEOPONTE,desnutricion global,desnutricion leve (l),2005-01-01,10,15,11,19,21,34,55
TIAWANACU,desnutricion global,desnutricion leve (l),2005-01-01,7,11,8,3,15,14,29
TINGUIPAYA,desnutricion global,desnutricion leve (l),2005-01-01,51,37,31,24,82,61,143
TIPUANI,desnutricion global,desnutricion leve (l),2005-01-01,9,9,2,1,11,10,21
TIQUIPAYA,desnutricion global,desnutricion leve (l),2005-01-01,40,35,24,16,64,51,115
TIRAQUE (CBBA),desnutricion global,desnutricion leve (l),2005-01-01,87,89,71,67,158,156,314
TITO YUPANQUI (PARQUIPUJIO),desnutricion global,desnutricion leve (l),2005-01-01,2,1,4,1,6,2,8
TOCO,desnutricion global,desnutricion leve (l),2005-01-01,5,3,9,14,14,17,31
TOLATA,desnutricion global,desnutricion leve (l),2005-01-01,0,1,1,1,1,2,3
TOLEDO,desnutricion global,desnutricion leve (l),2005-01-01,7,3,1,0,8,3,11
TOMAVE,desnutricion global,desnutricion leve (l),2005-01-01,12,2,9,5,21,7,28
TOMINA,desnutricion global,desnutricion leve (l),2005-01-01,49,45,92,118,141,163,304
TORO TORO,desnutricion global,desnutricion leve (l),2005-01-01,19,55,19,16,38,71,109
TOTORA(CBBA),desnutricion global,desnutricion leve (l),2005-01-01,15,17,5,8,20,25,45
TOTORA(ORR),desnutricion global,desnutricion leve (l),2005-01-01,6,1,5,8,11,9,20
TRIGAL,desnutricion global,desnutricion leve (l),2005-01-01,1,3,1,2,2,5,7
TRINIDAD,desnutricion global,desnutricion leve (l),2005-01-01,151,164,96,73,247,237,484
TUPIZA,desnutricion global,desnutricion leve (l),2005-01-01,63,63,69,70,132,133,265
TURCO,desnutricion global,desnutricion leve (l),2005-01-01,8,5,9,10,17,15,32
UNCIA,desnutricion global,desnutricion leve (l),2005-01-01,29,36,43,28,72,64,136
URIONDO (A. CONCEPCION),desnutricion global,desnutricion leve (l),2005-01-01,42,31,41,31,83,62,145
UYUNI,desnutricion global,desnutricion leve (l),2005-01-01,11,12,19,23,30,35,65
VACAS,desnutricion global,desnutricion leve (l),2005-01-01,23,29,15,19,38,48,86
VALLEGRANDE,desnutricion global,desnutricion leve (l),2005-01-01,18,10,40,12,58,22,80
VIACHA,desnutricion global,desnutricion leve (l),2005-01-01,120,134,48,54,168,188,356
VILA VILA,desnutricion global,desnutricion leve (l),2005-01-01,3,2,2,0,5,2,7
VILLA MONTES,desnutricion global,desnutricion leve (l),2005-01-01,39,32,41,41,80,73,153
VILLA NUEVA (LOMA ALTA),desnutricion global,desnutricion leve (l),2005-01-01,0,1,1,0,1,1,2
VILLA RIVERO,desnutricion global,desnutricion leve (l),2005-01-01,11,5,15,9,26,14,40
VILLA SERRANO,desnutricion global,desnutricion leve (l),2005-01-01,28,23,59,47,87,70,157
VILLA TUNARI,desnutricion global,desnutricion leve (l),2005-01-01,86,109,70,75,156,184,340
