municipality,group,variable,month,Cantidad,TOTAL-M
LAJA,intoxicaciones,plaguicidas,2005-03-01,2,2
LURIBAY,intoxicaciones,plaguicidas,2005-03-01,1,1
MAIRANA,intoxicaciones,plaguicidas,2005-03-01,1,1
MOCOMOCO,intoxicaciones,plaguicidas,2005-03-01,1,1
MONTERO,intoxicaciones,plaguicidas,2005-03-01,5,5
OKINAWA,intoxicaciones,plaguicidas,2005-03-01,1,1
ORURO,intoxicaciones,plaguicidas,2005-03-01,11,11
PUERTO ACOSTA,intoxicaciones,plaguicidas,2005-03-01,2,2
PUERTO VILLARROEL,intoxicaciones,plaguicidas,2005-03-01,2,2
QUILLACOLLO,intoxicaciones,plaguicidas,2005-03-01,7,7
SACABA,intoxicaciones,plaguicidas,2005-03-01,7,7
SAN IGNACIO DE VELASCO,intoxicaciones,plaguicidas,2005-03-01,2,2
SUCRE,intoxicaciones,plaguicidas,2005-03-01,4,4
TARIJA,intoxicaciones,plaguicidas,2005-03-01,7,7
TEOPONTE,intoxicaciones,plaguicidas,2005-03-01,1,1
TIAWANACU,intoxicaciones,plaguicidas,2005-03-01,1,1
TIRAQUE (CBBA),intoxicaciones,plaguicidas,2005-03-01,2,2
URIONDO (A. CONCEPCION),intoxicaciones,plaguicidas,2005-03-01,2,2
VILLA MONTES,intoxicaciones,plaguicidas,2005-03-01,2,2
VILLA RIVERO,intoxicaciones,plaguicidas,2005-03-01,1,1
VILLAZON,intoxicaciones,plaguicidas,2005-03-01,3,3
YACUIBA,intoxicaciones,plaguicidas,2005-03-01,9,9
ACHACACHI,intoxicaciones,plaguicidas,2005-04-01,1,1
AIQUILE,intoxicaciones,plaguicidas,2005-04-01,1,1
ANCORAIMES,intoxicaciones,plaguicidas,2005-04-01,1,1
ASCENCION DE GUARAYOS,intoxicaciones,plaguicidas,2005-04-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),intoxicaciones,plaguicidas,2005-04-01,1,1
BATALLAS,intoxicaciones,plaguicidas,2005-04-01,1,1
BERMEJO,intoxicaciones,plaguicidas,2005-04-01,2,2
BETANZOS,intoxicaciones,plaguicidas,2005-04-01,1,1
CAMIRI,intoxicaciones,plaguicidas,2005-04-01,4,4
CARANAVI,intoxicaciones,plaguicidas,2005-04-01,4,4
CHULUMANI (V. DE LA LIBERTAD),intoxicaciones,plaguicidas,2005-04-01,1,1
CLIZA,intoxicaciones,plaguicidas,2005-04-01,2,2
COCHABAMBA,intoxicaciones,plaguicidas,2005-04-01,19,19
COLOMI,intoxicaciones,plaguicidas,2005-04-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2005-04-01,31,31
EL PUENTE(TJA),intoxicaciones,plaguicidas,2005-04-01,1,1
FERNANDEZ ALONSO,intoxicaciones,plaguicidas,2005-04-01,1,1
LA ASUNTA,intoxicaciones,plaguicidas,2005-04-01,1,1
LA PAZ,intoxicaciones,plaguicidas,2005-04-01,19,19
LAS CARRERAS,intoxicaciones,plaguicidas,2005-04-01,1,1
MIZQUE,intoxicaciones,plaguicidas,2005-04-01,1,1
MONTERO,intoxicaciones,plaguicidas,2005-04-01,2,2
OKINAWA,intoxicaciones,plaguicidas,2005-04-01,1,1
PADILLA,intoxicaciones,plaguicidas,2005-04-01,1,1
PAILON,intoxicaciones,plaguicidas,2005-04-01,2,2
PUERTO VILLARROEL,intoxicaciones,plaguicidas,2005-04-01,4,4
PUNATA,intoxicaciones,plaguicidas,2005-04-01,2,2
QUILLACOLLO,intoxicaciones,plaguicidas,2005-04-01,4,4
QUIME,intoxicaciones,plaguicidas,2005-04-01,1,1
RAVELO,intoxicaciones,plaguicidas,2005-04-01,1,1
SACABA,intoxicaciones,plaguicidas,2005-04-01,12,12
SACABAMBA,intoxicaciones,plaguicidas,2005-04-01,2,2
SAN IGNACIO DE VELASCO,intoxicaciones,plaguicidas,2005-04-01,1,1
SUCRE,intoxicaciones,plaguicidas,2005-04-01,2,2
TARABUCO,intoxicaciones,plaguicidas,2005-04-01,3,3
TARIJA,intoxicaciones,plaguicidas,2005-04-01,9,9
TRINIDAD,intoxicaciones,plaguicidas,2005-04-01,2,2
TUPIZA,intoxicaciones,plaguicidas,2005-04-01,1,1
VACAS,intoxicaciones,plaguicidas,2005-04-01,1,1
VALLEGRANDE,intoxicaciones,plaguicidas,2005-04-01,1,1
VILLA TUNARI,intoxicaciones,plaguicidas,2005-04-01,4,4
YACUIBA,intoxicaciones,plaguicidas,2005-04-01,1,1
ACHACACHI,intoxicaciones,plaguicidas,2005-05-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),intoxicaciones,plaguicidas,2005-05-01,1,1
BATALLAS,intoxicaciones,plaguicidas,2005-05-01,2,2
BETANZOS,intoxicaciones,plaguicidas,2005-05-01,1,1
CAIROMA,intoxicaciones,plaguicidas,2005-05-01,2,2
CAMIRI,intoxicaciones,plaguicidas,2005-05-01,6,6
CARANAVI,intoxicaciones,plaguicidas,2005-05-01,4,4
COCHABAMBA,intoxicaciones,plaguicidas,2005-05-01,38,38
COMARAPA,intoxicaciones,plaguicidas,2005-05-01,1,1
COPACABANA,intoxicaciones,plaguicidas,2005-05-01,1,1
COTOCA,intoxicaciones,plaguicidas,2005-05-01,2,2
EL ALTO,intoxicaciones,plaguicidas,2005-05-01,22,22
FERNANDEZ ALONSO,intoxicaciones,plaguicidas,2005-05-01,1,1
GUANAY,intoxicaciones,plaguicidas,2005-05-01,1,1
LA PAZ,intoxicaciones,plaguicidas,2005-05-01,21,21
MINEROS,intoxicaciones,plaguicidas,2005-05-01,1,1
ORURO,intoxicaciones,plaguicidas,2005-05-01,5,5
PUCARA,intoxicaciones,plaguicidas,2005-05-01,1,1
PUERTO CARABUCO,intoxicaciones,plaguicidas,2005-05-01,1,1
PUERTO VILLARROEL,intoxicaciones,plaguicidas,2005-05-01,4,4
QUILLACOLLO,intoxicaciones,plaguicidas,2005-05-01,3,3
RAVELO,intoxicaciones,plaguicidas,2005-05-01,1,1
SAN CARLOS,intoxicaciones,plaguicidas,2005-05-01,1,1
SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2005-05-01,1,1
SUCRE,intoxicaciones,plaguicidas,2005-05-01,1,1
TARIJA,intoxicaciones,plaguicidas,2005-05-01,12,12
TIRAQUE (CBBA),intoxicaciones,plaguicidas,2005-05-01,1,1
TRINIDAD,intoxicaciones,plaguicidas,2005-05-01,1,1
TUPIZA,intoxicaciones,plaguicidas,2005-05-01,1,1
VACAS,intoxicaciones,plaguicidas,2005-05-01,2,2
VILLA TUNARI,intoxicaciones,plaguicidas,2005-05-01,3,3
VILLAZON,intoxicaciones,plaguicidas,2005-05-01,3,3
ACHACACHI,intoxicaciones,plaguicidas,2005-06-01,2,2
ACHOCALLA,intoxicaciones,plaguicidas,2005-06-01,1,1
ANCORAIMES,intoxicaciones,plaguicidas,2005-06-01,1,1
ARAMPAMPA,intoxicaciones,plaguicidas,2005-06-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),intoxicaciones,plaguicidas,2005-06-01,2,2
BERMEJO,intoxicaciones,plaguicidas,2005-06-01,1,1
BETANZOS,intoxicaciones,plaguicidas,2005-06-01,1,1
CALAMARCA,intoxicaciones,plaguicidas,2005-06-01,1,1
CAMARGO,intoxicaciones,plaguicidas,2005-06-01,1,1
CAMIRI,intoxicaciones,plaguicidas,2005-06-01,10,10
CARANAVI,intoxicaciones,plaguicidas,2005-06-01,1,1
COCHABAMBA,intoxicaciones,plaguicidas,2005-06-01,25,25
COPACABANA,intoxicaciones,plaguicidas,2005-06-01,2,2
CORIPATA,intoxicaciones,plaguicidas,2005-06-01,2,2
COROICO,intoxicaciones,plaguicidas,2005-06-01,1,1
CUATRO CAÑADAS,intoxicaciones,plaguicidas,2005-06-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2005-06-01,23,23
FERNANDEZ ALONSO,intoxicaciones,plaguicidas,2005-06-01,1,1
GUANAY,intoxicaciones,plaguicidas,2005-06-01,1,1
IRUPANA (VILLA DE LANZA),intoxicaciones,plaguicidas,2005-06-01,2,2
LA ASUNTA,intoxicaciones,plaguicidas,2005-06-01,1,1
LA PAZ,intoxicaciones,plaguicidas,2005-06-01,24,24
MALLA,intoxicaciones,plaguicidas,2005-06-01,3,3
MIZQUE,intoxicaciones,plaguicidas,2005-06-01,1,1
MOJOCOYA,intoxicaciones,plaguicidas,2005-06-01,1,1
MONTEAGUDO,intoxicaciones,plaguicidas,2005-06-01,4,4
MOROCHATA,intoxicaciones,plaguicidas,2005-06-01,1,1
ORURO,intoxicaciones,plaguicidas,2005-06-01,8,8
PAPEL PAMPA,intoxicaciones,plaguicidas,2005-06-01,1,1
PELECHUCO,intoxicaciones,plaguicidas,2005-06-01,1,1
PUERTO VILLARROEL,intoxicaciones,plaguicidas,2005-06-01,2,2
PUNA,intoxicaciones,plaguicidas,2005-06-01,1,1
QUILLACOLLO,intoxicaciones,plaguicidas,2005-06-01,3,3
SACABA,intoxicaciones,plaguicidas,2005-06-01,3,3
SACABAMBA,intoxicaciones,plaguicidas,2005-06-01,1,1
SAN BENITO,intoxicaciones,plaguicidas,2005-06-01,1,1
SAN IGNACIO DE VELASCO,intoxicaciones,plaguicidas,2005-06-01,1,1
SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2005-06-01,3,3
SUCRE,intoxicaciones,plaguicidas,2005-06-01,2,2
TARACO,intoxicaciones,plaguicidas,2005-06-01,1,1
TARIJA,intoxicaciones,plaguicidas,2005-06-01,4,4
TIRAQUE (CBBA),intoxicaciones,plaguicidas,2005-06-01,5,5
VACAS,intoxicaciones,plaguicidas,2005-06-01,1,1
VILLA TUNARI,intoxicaciones,plaguicidas,2005-06-01,7,7
VILLAZON,intoxicaciones,plaguicidas,2005-06-01,5,5
WARNES,intoxicaciones,plaguicidas,2005-06-01,2,2
YACUIBA,intoxicaciones,plaguicidas,2005-06-01,3,3
ANCORAIMES,intoxicaciones,plaguicidas,2005-07-01,1,1
BATALLAS,intoxicaciones,plaguicidas,2005-07-01,1,1
CAMIRI,intoxicaciones,plaguicidas,2005-07-01,2,2
CHAQUI,intoxicaciones,plaguicidas,2005-07-01,2,2
COBIJA,intoxicaciones,plaguicidas,2005-07-01,1,1
COCHABAMBA,intoxicaciones,plaguicidas,2005-07-01,25,25
COLOMI,intoxicaciones,plaguicidas,2005-07-01,1,1
COLQUECHACA,intoxicaciones,plaguicidas,2005-07-01,9,9
CORIPATA,intoxicaciones,plaguicidas,2005-07-01,2,2
COTOCA,intoxicaciones,plaguicidas,2005-07-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2005-07-01,31,31
IRUPANA (VILLA DE LANZA),intoxicaciones,plaguicidas,2005-07-01,1,1
LA ASUNTA,intoxicaciones,plaguicidas,2005-07-01,1,1
LA PAZ,intoxicaciones,plaguicidas,2005-07-01,28,28
LURIBAY,intoxicaciones,plaguicidas,2005-07-01,1,1
MECAPACA,intoxicaciones,plaguicidas,2005-07-01,1,1
MOCOMOCO,intoxicaciones,plaguicidas,2005-07-01,1,1
MONTERO,intoxicaciones,plaguicidas,2005-07-01,1,1
POCONA,intoxicaciones,plaguicidas,2005-07-01,1,1
PUERTO VILLARROEL,intoxicaciones,plaguicidas,2005-07-01,1,1
PUNA,intoxicaciones,plaguicidas,2005-07-01,2,2
QUILLACOLLO,intoxicaciones,plaguicidas,2005-07-01,5,5
REYES,intoxicaciones,plaguicidas,2005-07-01,1,1
SACABA,intoxicaciones,plaguicidas,2005-07-01,4,4
SAMAIPATA,intoxicaciones,plaguicidas,2005-07-01,1,1
SAN JUAN DE YAPACANI,intoxicaciones,plaguicidas,2005-07-01,1,1
SAN MIGUEL DE VELASCO,intoxicaciones,plaguicidas,2005-07-01,4,4
SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2005-07-01,2,2
SICA SICA (VILLA AROMA),intoxicaciones,plaguicidas,2005-07-01,1,1
SIPE SIPE,intoxicaciones,plaguicidas,2005-07-01,1,1
SUCRE,intoxicaciones,plaguicidas,2005-07-01,8,8
TARIJA,intoxicaciones,plaguicidas,2005-07-01,5,5
VILLA TUNARI,intoxicaciones,plaguicidas,2005-07-01,4,4
VILLA VACA GUZMAN (MUYUPAMPA),intoxicaciones,plaguicidas,2005-07-01,1,1
VILLAZON,intoxicaciones,plaguicidas,2005-07-01,2,2
YACUIBA,intoxicaciones,plaguicidas,2005-07-01,3,3
YANACACHI,intoxicaciones,plaguicidas,2005-07-01,1,1
ACHACACHI,intoxicaciones,plaguicidas,2005-08-01,1,1
ANCORAIMES,intoxicaciones,plaguicidas,2005-08-01,1,1
ARQUE,intoxicaciones,plaguicidas,2005-08-01,1,1
BERMEJO,intoxicaciones,plaguicidas,2005-08-01,1,1
BUENA VISTA,intoxicaciones,plaguicidas,2005-08-01,1,1
CAMARGO,intoxicaciones,plaguicidas,2005-08-01,1,1
CAMIRI,intoxicaciones,plaguicidas,2005-08-01,4,4
CARANAVI,intoxicaciones,plaguicidas,2005-08-01,1,1
CHULUMANI (V. DE LA LIBERTAD),intoxicaciones,plaguicidas,2005-08-01,2,2
COBIJA,intoxicaciones,plaguicidas,2005-08-01,1,1
COCHABAMBA,intoxicaciones,plaguicidas,2005-08-01,24,24
COMARAPA,intoxicaciones,plaguicidas,2005-08-01,1,1
COPACABANA,intoxicaciones,plaguicidas,2005-08-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2005-08-01,36,36
EL PUENTE(TJA),intoxicaciones,plaguicidas,2005-08-01,1,1
EL TORNO,intoxicaciones,plaguicidas,2005-08-01,1,1
FERNANDEZ ALONSO,intoxicaciones,plaguicidas,2005-08-01,1,1
GUANAY,intoxicaciones,plaguicidas,2005-08-01,1,1
GUAQUI,intoxicaciones,plaguicidas,2005-08-01,2,2
IRUPANA (VILLA DE LANZA),intoxicaciones,plaguicidas,2005-08-01,4,4
LA ASUNTA,intoxicaciones,plaguicidas,2005-08-01,4,4
LA PAZ,intoxicaciones,plaguicidas,2005-08-01,34,34
LAJA,intoxicaciones,plaguicidas,2005-08-01,1,1
LAS CARRERAS,intoxicaciones,plaguicidas,2005-08-01,1,1
LURIBAY,intoxicaciones,plaguicidas,2005-08-01,2,2
MECAPACA,intoxicaciones,plaguicidas,2005-08-01,1,1
MOJOCOYA,intoxicaciones,plaguicidas,2005-08-01,1,1
MONTERO,intoxicaciones,plaguicidas,2005-08-01,5,5
ORURO,intoxicaciones,plaguicidas,2005-08-01,11,11
PUCARA,intoxicaciones,plaguicidas,2005-08-01,1,1
PUERTO ACOSTA,intoxicaciones,plaguicidas,2005-08-01,3,3
PUERTO CARABUCO,intoxicaciones,plaguicidas,2005-08-01,1,1
PUERTO VILLARROEL,intoxicaciones,plaguicidas,2005-08-01,5,5
QUILLACOLLO,intoxicaciones,plaguicidas,2005-08-01,4,4
SACABA,intoxicaciones,plaguicidas,2005-08-01,2,2
SAN IGNACIO DE VELASCO,intoxicaciones,plaguicidas,2005-08-01,1,1
SAN PEDRO,intoxicaciones,plaguicidas,2005-08-01,2,2
SAN PEDRO DE TIQUINA,intoxicaciones,plaguicidas,2005-08-01,1,1
SAN RAMON,intoxicaciones,plaguicidas,2005-08-01,1,1
SUCRE,intoxicaciones,plaguicidas,2005-08-01,9,9
TIRAQUE (CBBA),intoxicaciones,plaguicidas,2005-08-01,4,4
TRINIDAD,intoxicaciones,plaguicidas,2005-08-01,2,2
URIONDO (A. CONCEPCION),intoxicaciones,plaguicidas,2005-08-01,1,1
VACAS,intoxicaciones,plaguicidas,2005-08-01,1,1
VILLA TUNARI,intoxicaciones,plaguicidas,2005-08-01,4,4
WARNES,intoxicaciones,plaguicidas,2005-08-01,3,3
YACUIBA,intoxicaciones,plaguicidas,2005-08-01,6,6
ZUDAÑEZ,intoxicaciones,plaguicidas,2005-08-01,1,1
BATALLAS,intoxicaciones,plaguicidas,2005-09-01,1,1
BETANZOS,intoxicaciones,plaguicidas,2005-09-01,2,2
CAIROMA,intoxicaciones,plaguicidas,2005-09-01,1,1
CAMIRI,intoxicaciones,plaguicidas,2005-09-01,11,11
CARANAVI,intoxicaciones,plaguicidas,2005-09-01,7,7
COBIJA,intoxicaciones,plaguicidas,2005-09-01,1,1
COCHABAMBA,intoxicaciones,plaguicidas,2005-09-01,17,17
COLOMI,intoxicaciones,plaguicidas,2005-09-01,1,1
COMARAPA,intoxicaciones,plaguicidas,2005-09-01,1,1
COPACABANA,intoxicaciones,plaguicidas,2005-09-01,2,2
CORIPATA,intoxicaciones,plaguicidas,2005-09-01,3,3
COTAGAITA,intoxicaciones,plaguicidas,2005-09-01,1,1
EL ALTO,intoxicaciones,plaguicidas,2005-09-01,36,36
FERNANDEZ ALONSO,intoxicaciones,plaguicidas,2005-09-01,2,2
GENERAL SAAVEDRA,intoxicaciones,plaguicidas,2005-09-01,2,2
GUANAY,intoxicaciones,plaguicidas,2005-09-01,1,1
LA ASUNTA,intoxicaciones,plaguicidas,2005-09-01,2,2
LA GUARDIA,intoxicaciones,plaguicidas,2005-09-01,1,1
LA PAZ,intoxicaciones,plaguicidas,2005-09-01,27,27
MAPIRI,intoxicaciones,plaguicidas,2005-09-01,1,1
MECAPACA,intoxicaciones,plaguicidas,2005-09-01,2,2
OCURI,intoxicaciones,plaguicidas,2005-09-01,1,1
ORURO,intoxicaciones,plaguicidas,2005-09-01,4,4
PAPEL PAMPA,intoxicaciones,plaguicidas,2005-09-01,1,1
PUERTO CARABUCO,intoxicaciones,plaguicidas,2005-09-01,1,1
PUERTO VILLARROEL,intoxicaciones,plaguicidas,2005-09-01,1,1
PUNA,intoxicaciones,plaguicidas,2005-09-01,1,1
PUNATA,intoxicaciones,plaguicidas,2005-09-01,4,4
QUILLACOLLO,intoxicaciones,plaguicidas,2005-09-01,12,12
SACABA,intoxicaciones,plaguicidas,2005-09-01,3,3
SUCRE,intoxicaciones,plaguicidas,2005-09-01,6,6
TARABUCO,intoxicaciones,plaguicidas,2005-09-01,4,4
TARIJA,intoxicaciones,plaguicidas,2005-09-01,5,5
TIPUANI,intoxicaciones,plaguicidas,2005-09-01,1,1
TIRAQUE (CBBA),intoxicaciones,plaguicidas,2005-09-01,2,2
TUPIZA,intoxicaciones,plaguicidas,2005-09-01,1,1
VACAS,intoxicaciones,plaguicidas,2005-09-01,2,2
VILLA TUNARI,intoxicaciones,plaguicidas,2005-09-01,1,1
VILLAZON,intoxicaciones,plaguicidas,2005-09-01,4,4
YACUIBA,intoxicaciones,plaguicidas,2005-09-01,1,1
ACHACACHI,intoxicaciones,plaguicidas,2005-10-01,2,2
ANCORAIMES,intoxicaciones,plaguicidas,2005-10-01,2,2
ATOCHA,intoxicaciones,plaguicidas,2005-10-01,1,1
BATALLAS,intoxicaciones,plaguicidas,2005-10-01,1,1
BETANZOS,intoxicaciones,plaguicidas,2005-10-01,1,1
CAIROMA,intoxicaciones,plaguicidas,2005-10-01,1,1
CAMARGO,intoxicaciones,plaguicidas,2005-10-01,2,2
CAMIRI,intoxicaciones,plaguicidas,2005-10-01,3,3
CAPINOTA,intoxicaciones,plaguicidas,2005-10-01,1,1
CARANAVI,intoxicaciones,plaguicidas,2005-10-01,2,2
CARAPARI,intoxicaciones,plaguicidas,2005-10-01,1,1
COCHABAMBA,intoxicaciones,plaguicidas,2005-10-01,21,21
COLOMI,intoxicaciones,plaguicidas,2005-10-01,2,2
COMARAPA,intoxicaciones,plaguicidas,2005-10-01,1,1
CORIPATA,intoxicaciones,plaguicidas,2005-10-01,2,2
EL ALTO,intoxicaciones,plaguicidas,2005-10-01,24,24
FERNANDEZ ALONSO,intoxicaciones,plaguicidas,2005-10-01,1,1
IRUPANA (VILLA DE LANZA),intoxicaciones,plaguicidas,2005-10-01,1,1
LA PAZ,intoxicaciones,plaguicidas,2005-10-01,13,13
LAJA,intoxicaciones,plaguicidas,2005-10-01,1,1
MECAPACA,intoxicaciones,plaguicidas,2005-10-01,1,1
MOCOMOCO,intoxicaciones,plaguicidas,2005-10-01,2,2
MONTERO,intoxicaciones,plaguicidas,2005-10-01,2,2
ORURO,intoxicaciones,plaguicidas,2005-10-01,3,3
POCONA,intoxicaciones,plaguicidas,2005-10-01,1,1
PUERTO CARABUCO,intoxicaciones,plaguicidas,2005-10-01,1,1
PUERTO VILLARROEL,intoxicaciones,plaguicidas,2005-10-01,5,5
QUILLACOLLO,intoxicaciones,plaguicidas,2005-10-01,4,4
RAVELO,intoxicaciones,plaguicidas,2005-10-01,1,1
SACABA,intoxicaciones,plaguicidas,2005-10-01,1,1
SAMAIPATA,intoxicaciones,plaguicidas,2005-10-01,1,1
SAN IGNACIO,intoxicaciones,plaguicidas,2005-10-01,1,1
SAN JOAQUIN,intoxicaciones,plaguicidas,2005-10-01,88,88
SAN JULIAN,intoxicaciones,plaguicidas,2005-10-01,1,1
SUCRE,intoxicaciones,plaguicidas,2005-10-01,3,3
TARABUCO,intoxicaciones,plaguicidas,2005-10-01,1,1
TARIJA,intoxicaciones,plaguicidas,2005-10-01,7,7
TITO YUPANQUI (PARQUIPUJIO),intoxicaciones,plaguicidas,2005-10-01,1,1
TUPIZA,intoxicaciones,plaguicidas,2005-10-01,1,1
VACAS,intoxicaciones,plaguicidas,2005-10-01,2,2
VILLA TUNARI,intoxicaciones,plaguicidas,2005-10-01,1,1
VILLAZON,intoxicaciones,plaguicidas,2005-10-01,2,2
