municipality,group,variable,month,< de 1 año-H,< de 1 año-M,1 a 4 años-H,1 a 4 años-M,5 a 14 años-H,5 a 14 años-M,15 a 59 años-H,15 a 59 años-M,60 y más-H,60 y más-M,TOTAL-H,TOTAL-M,TOTAL
COROICO,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,1,0,0,0,1,0,1
CORQUE,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,1,0,1,0,2,0,2
EL ALTO,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,2,6,10,46,0,0,12,52,64
ENTRE RIOS,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ENTRE RIOS,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
FERNANDEZ ALONSO,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
GUAYARAMERIN,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
HUACARETA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,2,1,1,0,3,1,4
HUANUNI,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,2,0,0,0,2,0,2
INCAHUASI,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
IXIAMAS,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,1,0,0,0,1,0,1
LA ASUNTA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,3,0,0,0,3,3
LA PAZ,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,2,0,13,5,4,39,1,1,20,45,65
LA RIVERA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,1,0,0,0,1,0,1
LLALLAGUA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,1,0,0,0,0,11,0,0,1,11,12
MINEROS,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
MONTEAGUDO,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,3,0,0,0,3,3
MONTERO,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,1,0,0,2,0,1,1,3,4
MORO MORO,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,0,1,1,1,1,2
MOROCHATA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
OMEREQUE,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
PADCAYA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,2,0,0,0,2,0,2
PADILLA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,2,0,0,0,2,2
PALOS BLANCOS,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,2,0,0,0,2,2
POCONA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,0,1,0,1,0,1
POOPO,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
POROMA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
PORTACHUELO,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,2,0,0,0,2,2
POTOSI,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,1,5,0,2,0,0,1,7,8
PUERTO ACOSTA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
PUERTO QUIJARRO,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,2,0,0,0,2,2
PUERTO SUAREZ,violencia  intrafamiliar,intrafamiliar,2007-03-01,1,0,0,0,0,0,0,2,0,0,1,2,3
PUERTO VILLARROEL,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,1,0,0,0,1,0,1
PUNA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,1,1,0,0,0,1,1,2
PUNATA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,1,1,0,0,1,1,2
SACABA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,1,0,1,1,1,10,0,0,3,11,14
SACABAMBA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,violencia  intrafamiliar,intrafamiliar,2007-03-01,1,0,0,0,0,0,0,1,0,0,1,1,2
SAN JULIAN,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SAN LORENZO(TJA),violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN LUCAS,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,1,1,0,0,1,1,2
SAN MATIAS,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,1,0,0,0,1,0,1
SAN PEDRO DE TIQUINA,violencia  intrafamiliar,intrafamiliar,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
