municipality,group,variable,month,< de 1 año-H,< de 1 año-M,1 a 4 años-H,1 a 4 años-M,5 a 14 años-H,5 a 14 años-M,15 a 59 años-H,15 a 59 años-M,60 y más-H,60 y más-M,TOTAL-H,TOTAL-M,TOTAL
CHULUMANI (V. DE LA LIBERTAD),violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,1,0,1,1,0,0,2,1,3
EL ALTO,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,1,0,5,3,1,0,7,3,10
ENTRE RIOS,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,0,0,0,0,0,1,0,1,1
HUACARETA,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,0,0,0,1,1,0,1,1,2
LA PAZ,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,1,0,2,0,2,3,32,23,11,6,48,32,80
LLALLAGUA,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,0,0,5,5,1,1,6,6,12
MIZQUE,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
MORO MORO,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ORURO,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,7,4,219,94,13,6,239,104,343
PALCA,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,0,0,0,2,0,0,0,2,2
POCOATA,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
POTOSI,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,0,0,1,1,0,0,1,1,2
PUCARANI,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
PUERTO QUIJARRO,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,0,0,1,1,0,0,1,1,2
PUNATA,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,0,2,0,1,1,0,1,3,4
ROBORE,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,0,0,0,2,0,0,0,2,2
SAN CARLOS,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN JULIAN,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,0,0,1,1,0,0,1,1,2
SORATA,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SUCRE,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
TUPIZA,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,0,1,0,5,0,1,0,7,7
VIACHA,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
VITICHI,violencia  intrafamiliar,otras violencias (causas externas),2007-02-01,0,0,0,1,0,0,1,1,1,0,2,2,4
AIQUILE,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,1,0,0,0,0,0,1,1
ARANI,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,2,2,0,0,2,2,4
ASCENCION DE GUARAYOS,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,1,1,0,0,1,1,2
BUENA VISTA,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,2,0,2,1,0,0,4,1,5
CAIROMA,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,1,0,0,0,1,0,1
CAMARGO,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,1,0,1,0,0,0,2,0,2
CHALLAPATA,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,13,18,2,2,15,20,35
COCHABAMBA,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,6,8,0,0,6,8,14
COTAGAITA,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
COTOCA,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,1,0,0,0,1,0,1
EL ALTO,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,1,0,0,0,6,3,13,23,1,1,21,27,48
LA PAZ,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,2,1,1,1,55,24,9,11,67,37,104
LLALLAGUA,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,13,5,0,0,13,5,18
MIZQUE,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,0,2,0,1,0,3,3
MOJOCOYA,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,2,0,0,0,0,0,2,2
ORURO,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,2,0,17,4,30,8,167,69,13,8,229,89,318
PALCA,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,0,0,1,0,1,0,1
POJO (CBBA),violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
POTOSI,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
PUCARANI,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,1,4,0,0,1,4,5
PUERTO SUAREZ,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
PUNATA,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,0,2,0,0,0,2,2
QUILLACOLLO,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SACABA,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,1,0,2,0,1,0,4,4
SACABAMBA,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,1,3,2,0,0,3,3,6
SAN LORENZO(TJA),violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN LUCAS,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SOPACHUY,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,1,0,0,0,1,0,1
SUCRE,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,1,0,0,0,1,0,1
TIQUIPAYA,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
TIRAQUE (CBBA),violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,2,0,2,0,0,0,4,4
TUPIZA,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,0,5,0,0,0,5,5
VACAS,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,2,3,0,1,2,4,6
VILLA MONTES,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,1,0,1,0,1,0,3,3
VILLA SERRANO,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,0,2,0,0,0,2,2
VITICHI,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,6,3,0,0,6,3,9
ZUDAÑEZ,violencia  intrafamiliar,otras violencias (causas externas),2007-03-01,0,0,0,0,0,0,0,0,0,1,0,1,1
ANCORAIMES,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ANDAMARCA,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,0,0,0,1,0,1,1
ANZALDO,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,1,0,0,0,1,0,1
CAMARGO,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,1,3,0,0,1,3,4
CAPINOTA,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,4,0,0,0,4,0,4
CHALLAPATA,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,3,0,9,10,2,1,14,11,25
CLIZA,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,2,0,0,0,2,0,2
COLLANA,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
COLQUENCHA,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
COPACABANA,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,1,0,2,1,0,0,3,1,4
CULPINA,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,1,1,0,0,1,1,2
EL ALTO,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,1,2,6,1,10,15,0,2,17,20,37
INCAHUASI,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,0,4,0,0,0,4,4
LA PAZ,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,2,0,4,1,57,26,17,4,80,31,111
LLALLAGUA,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,4,7,0,0,4,7,11
MORO MORO,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
MOROCHATA,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,0,2,0,0,0,2,2
OMEREQUE,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,1,0,0,0,1,0,1
ORURO,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,7,9,30,10,142,51,11,15,190,85,275
POTOSI,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,1,0,0,0,1,0,1
PUCARANI,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,1,0,0,0,1,0,1
PUERTO ACOSTA,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,1,3,2,0,1,3,4,7
PUNATA,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,1,5,0,0,1,5,6
RAVELO,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,4,1,0,0,4,1,5
SACABA,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,1,0,1,0,2,0,2
SACABAMBA,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,1,2,2,11,10,0,2,13,15,28
SOPACHUY,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,0,2,0,0,0,2,2
TAPACARI,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,3,0,1,0,4,0,4
TARIJA,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,5,0,0,0,5,0,5
TOTORA(ORR),violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,1,1,0,0,1,1,2
UNCIA,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,3,1,0,0,3,1,4
VACAS,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,1,1,0,0,1,1,2
VILLA TUNARI,violencia  intrafamiliar,otras violencias (causas externas),2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ARBIETO,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ARQUE,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,1,0,0,0,0,0,1,1
ASCENCION DE GUARAYOS,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
BERMEJO,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,4,3,0,0,4,3,7
CAMARGO,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,2,0,0,0,0,0,2,0,2
CARANAVI,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,1,1,0,0,1,1,2
CHALLAPATA,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,2,8,0,1,2,9,11
CLIZA,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,5,0,0,0,5,0,5
COCHABAMBA,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,1,0,5,5,0,0,6,5,11
COPACABANA,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
COROICO,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,1,1,0,0,1,1,2
CORQUE,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,1,2,0,0,1,2,3
EL ALTO,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,1,2,1,1,10,6,66,46,9,4,87,59,146
INCAHUASI,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
LA PAZ,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,2,1,0,7,7,32,19,16,5,56,33,89
LLALLAGUA,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,9,3,0,1,9,4,13
MINEROS,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
MONTEAGUDO,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,0,6,0,0,0,6,6
MORO MORO,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,2,1,0,0,2,1,3
ORURO,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,3,4,26,18,36,16,245,105,17,17,327,160,487
PADCAYA,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,1,1,1,0,2,1,3
PADILLA,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,0,2,0,0,0,2,2
PALOS BLANCOS,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,1,1,0,0,1,1,2
PUCARANI,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,1,0,0,0,1,0,1
PUERTO ACOSTA,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,0,2,0,0,0,2,2
PUNATA,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,3,10,0,0,3,10,13
RIBERALTA,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SACABA,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,4,0,0,0,4,0,4
SACABAMBA,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,3,4,0,0,3,4,7
SACACA,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,1,1,0,1,1,2,3
SAN CARLOS,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,1,0,1,3,4,1,1,1,7,5,12
SAN LUCAS,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,2,1,1,0,0,1,3,4
SAN MATIAS,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,1,0,0,0,1,0,1
SUCRE,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,3,0,2,0,0,0,5,5
TAPACARI,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,0,2,0,0,0,2,2
TARIJA,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,32,5,0,0,32,5,37
VACAS,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,2,2,0,0,2,2,4
VILA VILA,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,1,0,0,0,1,0,1
VILLA MONTES,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,3,0,1,0,0,0,4,4
VILLAZON,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,0,0,1,0,0,0,1,1
WARNES,violencia  intrafamiliar,otras violencias (causas externas),2007-05-01,0,0,0,0,0,1,0,0,0,0,0,1,1
ARAMPAMPA,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,1,0,0,0,1,0,1
ARANI,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,2,0,0,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,1,0,0,0,0,0,1,1
BERMEJO,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,1,0,0,2,0,0,1,2,3
CARANAVI,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,1,0,0,0,1,0,1
CARMEN RIVERO TORREZ,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,1,1,1,0,0,0,2,1,3
CHALLAPATA,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,1,4,8,0,1,4,10,14
CHUMA,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,1,0,0,0,1,0,1
CLIZA,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,2,0,0,0,2,0,2
COCHABAMBA,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,1,0,17,16,0,1,18,17,35
COLQUENCHA,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,1,0,0,0,1,0,1
COPACABANA,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,0,2,0,0,0,2,2
CORIPATA,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,1,0,0,0,0,0,1,1
COROICO,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,1,0,4,2,1,0,6,2,8
COTAGAITA,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,0,1,0,0,0,1,1
CULPINA,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,2,0,0,0,2,0,2
EL ALTO,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,1,3,3,2,9,6,71,56,2,3,86,70,156
INCAHUASI,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,0,1,0,0,0,1,1
LA PAZ,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,6,9,42,25,21,8,69,42,111
LLALLAGUA,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,6,3,0,0,6,3,9
LURIBAY,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,0,1,0,0,0,1,1
MORO MORO,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,1,0,0,0,1,0,1
MOROCHATA,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,0,2,0,0,0,2,2
ORURO,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,1,2,15,24,22,14,165,71,13,9,216,120,336
PALOS BLANCOS,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,1,0,0,0,1,0,1
POTOSI,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,1,0,0,0,1,0,1
PUCARANI,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,0,4,0,0,0,4,4
PUERTO RICO,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,0,1,0,0,0,1,1
PUERTO SUAREZ,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,1,1,0,0,0,1,1,2
PUERTO VILLARROEL,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,2,4,0,1,2,5,7
SACABA,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,0,8,0,0,0,8,8
SACABAMBA,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SACACA,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,2,1,0,1,2,2,4
SAN IGNACIO DE VELASCO,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,1,2,1,0,2,1,0,0,4,3,7
SAN MATIAS,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,2,2,1,1,3,3,6
SANTA CRUZ DE LA SIERRA,violencia  intrafamiliar,otras violencias (causas externas),2007-06-01,0,0,0,0,0,0,2,2,0,0,2,2,4
