municipality,group,variable,month,Nevada,Nevada1,Nevada2,TOTAL
YANACACHI,eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,0.0,0.0,1.0
ZUDAÑEZ,eventos - notificacion inmediata parte i,incendio,2024-09-01,1.0,0.0,0.0,1.0
ASCENCION DE GUARAYOS,eventos - notificacion inmediata parte i,incendio,2024-10-01,3.0,0.0,0.0,3.0
CABEZAS,eventos - notificacion inmediata parte i,incendio,2024-10-01,1.0,30.0,0.0,31.0
CAJUATA,eventos - notificacion inmediata parte i,incendio,2024-10-01,1.0,0.0,0.0,1.0
CAMIRI,eventos - notificacion inmediata parte i,incendio,2024-10-01,1.0,0.0,0.0,1.0
COLOMI,eventos - notificacion inmediata parte i,incendio,2024-10-01,3.0,0.0,0.0,3.0
COROICO,eventos - notificacion inmediata parte i,incendio,2024-10-01,1.0,0.0,0.0,1.0
IRUPANA (VILLA DE LANZA),eventos - notificacion inmediata parte i,incendio,2024-10-01,1.0,0.0,0.0,1.0
IXIAMAS,eventos - notificacion inmediata parte i,incendio,2024-10-01,6.0,75.0,0.0,81.0
JESUS DE MACHACA,eventos - notificacion inmediata parte i,incendio,2024-10-01,1.0,3.0,0.0,4.0
LAGUNILLAS,eventos - notificacion inmediata parte i,incendio,2024-10-01,1.0,0.0,0.0,1.0
MAIRANA,eventos - notificacion inmediata parte i,incendio,2024-10-01,1.0,1.0,0.0,2.0
PADILLA,eventos - notificacion inmediata parte i,incendio,2024-10-01,1.0,0.0,0.0,1.0
POROMA,eventos - notificacion inmediata parte i,incendio,2024-10-01,1.0,1.0,1.0,3.0
POSTRER VALLE,eventos - notificacion inmediata parte i,incendio,2024-10-01,2.0,0.0,0.0,2.0
PUERTO GONZALO MORENO,eventos - notificacion inmediata parte i,incendio,2024-10-01,3.0,2.0,0.0,5.0
PUERTO SUAREZ,eventos - notificacion inmediata parte i,incendio,2024-10-01,1.0,0.0,0.0,1.0
QUIME,eventos - notificacion inmediata parte i,incendio,2024-10-01,1.0,0.0,0.0,1.0
ROBORE,eventos - notificacion inmediata parte i,incendio,2024-10-01,4.0,1177.0,0.0,1181.0
SACABA,eventos - notificacion inmediata parte i,incendio,2024-10-01,3.0,0.0,0.0,3.0
SAMAIPATA,eventos - notificacion inmediata parte i,incendio,2024-10-01,2.0,15.0,0.0,17.0
SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2024-10-01,2.0,0.0,0.0,2.0
SAN PEDRO(PND),eventos - notificacion inmediata parte i,incendio,2024-10-01,2.0,25.0,0.0,27.0
SANTA ROSA DEL SARA,eventos - notificacion inmediata parte i,incendio,2024-10-01,1.0,0.0,0.0,1.0
TARVITA,eventos - notificacion inmediata parte i,incendio,2024-10-01,1.0,10.0,0.0,11.0
TOTORA(CBBA),eventos - notificacion inmediata parte i,incendio,2024-10-01,1.0,0.0,0.0,1.0
TRINIDAD,eventos - notificacion inmediata parte i,incendio,2024-10-01,5.0,0.0,0.0,5.0
VACAS,eventos - notificacion inmediata parte i,incendio,2024-10-01,1.0,1.0,0.0,2.0
VALLEGRANDE,eventos - notificacion inmediata parte i,incendio,2024-10-01,1.0,7.0,7.0,15.0
VILLA VACA GUZMAN (MUYUPAMPA),eventos - notificacion inmediata parte i,incendio,2024-10-01,1.0,30.0,0.0,31.0
ASCENCION DE GUARAYOS,eventos - notificacion inmediata parte i,incendio,2024-11-01,1.0,41.0,0.0,42.0
CHARAGUA,eventos - notificacion inmediata parte i,incendio,2024-11-01,1.0,0.0,0.0,1.0
