municipality,group,variable,month,Cantidad,TOTAL
FERNANDEZ ALONSO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,7,7
GUANAY,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,1,1
GUAQUI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,1,1
GUAYARAMERIN,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,2,2
JESUS DE MACHACA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,2,2
LA GUARDIA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,33,33
LA PAZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,531,531
LAJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,3,3
LICOMA PAMPA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,1,1
MAIRANA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,6,6
MECAPACA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,5,5
MOCOMOCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,1,1
MONTEAGUDO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,1,1
MONTERO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,56,56
MORO MORO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,2,2
NAZACARA DE PACAJES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,3,3
ORURO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,143,143
PADCAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,9,9
PAILON,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,2,2
PALCA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,1,1
PALOS BLANCOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,1,1
PAMPA GRANDE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,5,5
PORTACHUELO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,12,12
POTOSI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,67,67
PUCARANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,4,4
PUERTO ACOSTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,2,2
PUERTO CARABUCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,2,2
PUERTO PEREZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,1,1
PUERTO QUIJARRO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,2,2
PUERTO SUAREZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,9,9
PUERTO VILLARROEL,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,7,7
PUNATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,1,1
QUILLACOLLO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,55,55
QUIRUSILLAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,3,3
SACABA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,79,79
SAIPINA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,1,1
SAMAIPATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,10,10
SAN ANDRES DE MACHACA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,1,1
SAN ANTONIO DE LOMERIO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,1,1
SAN BENITO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,3,3
SAN CARLOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,2,2
SAN IGNACIO DE VELASCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,24,24
SAN JUAN DE YAPACANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,2,2
SAN JULIAN,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,7,7
SAN LORENZO(TJA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,1,1
SAN MATIAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,3,3
SAN PEDRO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,1,1
SAN RAFAEL,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,1,1
SANTA ANA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,1,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,565,565
SANTA ROSA DEL SARA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,3,3
SAPAHAQUI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,5,5
SIPE SIPE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,21,21
SUCRE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,350,350
TARATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,11,11
TARIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,45,45
TIAWANACU,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,2,2
TIPUANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,9,9
TIRAQUE (CBBA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,1,1
TOCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,3,3
TOLATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,3,3
TORO TORO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,1,1
TRINIDAD,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,2,2
URIONDO (A. CONCEPCION),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,2,2
VALLEGRANDE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,4,4
VIACHA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,6,6
VILLA MONTES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,8,8
VILLA TUNARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,1,1
VILLAZON,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,18,18
VINTO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,2,2
YACUIBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-01-01,57,57
ACHACACHI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,1,1
AIQUILE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,3,3
ANCORAIMES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,1,1
ARBIETO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,5,5
AYO AYO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,1,1
BAURES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,3,3
BERMEJO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,12,12
BETANZOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,6,6
BUENA VISTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,2,2
CALACOTO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,2,2
CAMIRI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,7,7
CAQUIAVIRI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,3,3
CARANAVI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,3,3
CARAPARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,2,2
CHALLAPATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,3,3
CHULUMANI (V. DE LA LIBERTAD),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,4,4
CLIZA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,17,17
COBIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,8,8
COCHABAMBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,291,291
COLOMI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,7,7
COMANCHE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,2,2
COMARAPA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,3,3
COPACABANA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,3,3
CORO CORO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,2,2
COROICO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,3,3
COTAGAITA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,6,6
COTOCA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,7,7
CUATRO CAÑADAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,5,5
DESAGUADERO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,1,1
EL ALTO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,202,202
EL TORNO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,5,5
ENTRE RIOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,12,12
EUCALIPTUS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,1,1
FERNANDEZ ALONSO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,6,6
GUAQUI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,1,1
GUAYARAMERIN,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,2,2
IXIAMAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,1,1
JESUS DE MACHACA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,1,1
LA GUARDIA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,8,8
LA PAZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,409,409
LLALLAGUA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,2,2
LURIBAY,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,1,1
MAIRANA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,2,2
MECAPACA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,2,2
MOCOMOCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,1,1
MONTEAGUDO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,4,4
MONTERO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,32,32
ORURO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,79,79
PADCAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,7,7
PAILON,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,3,3
PALCA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,1,1
PAMPA GRANDE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,2,2
POCONA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,2,2
PORTACHUELO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,2,2
POSTRER VALLE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,2,2
POTOSI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,75,75
PUCARA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,1,1
PUCARANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,3,3
PUERTO ACOSTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,3,3
PUERTO CARABUCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,3,3
PUERTO QUIJARRO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,7,7
PUERTO SUAREZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,3,3
PUERTO VILLARROEL,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,2,2
PUNA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,2,2
QUILLACOLLO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,36,36
RAVELO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,2,2
ROBORE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,1,1
SACABA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,73,73
SAMAIPATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,3,3
SAN ANDRES DE MACHACA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,3,3
SAN BENITO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,3,3
SAN CARLOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,2,2
SAN IGNACIO DE VELASCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,10,10
SAN JULIAN,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,5,5
SAN LORENZO(TJA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,4,4
SAN MATIAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,1,1
SAN PEDRO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,4,4
SAN PEDRO DE CURAHUARA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,1,1
SAN PEDRO DE TIQUINA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,2,2
SAN RAFAEL,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,1,1
SAN RAMON,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,2,2
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,422,422
SANTA ROSA DEL SARA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,4,4
SAPAHAQUI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,1,1
SIPE SIPE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,17,17
SUCRE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,61,61
TACOBAMBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,1,1
TARACO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,2,2
TARATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,3,3
TARIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,35,35
TIAWANACU,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,1,1
TIQUIPAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,23,23
TIRAQUE (CBBA),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,3,3
TOCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,2,2
TOLATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,3,3
TUPIZA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,23,23
URIONDO (A. CONCEPCION),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,1,1
VALLEGRANDE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,3,3
VIACHA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,9,9
VILLA MONTES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,12,12
VILLA TUNARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,4,4
VILLAZON,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,18,18
WALDO BALLIVIAN,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,1,1
WARNES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,3,3
YACO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,1,1
YACUIBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,46,46
YOTALA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-02-01,3,3
ACHACACHI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,7,7
AIQUILE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,4,4
ARANI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,2,2
ARBIETO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,4,4
ARQUE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,1,1
ASCENCION DE GUARAYOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,3,3
AYATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,1,1
AYO AYO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,1,1
BATALLAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,1,1
BERMEJO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,18,18
BETANZOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,1,1
CAIROMA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,1,1
"CAIZA ""D""",sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,1,1
CAMIRI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,2,2
CAPINOTA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,5,5
CAQUIAVIRI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,3,3
CARANAVI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,8,8
CARAPARI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,6,6
CHALLAPATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,5,5
CHARAÑA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,1,1
CHIMORE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,2,2
CHULUMANI (V. DE LA LIBERTAD),sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,2,2
CLIZA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,14,14
COBIJA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,11,11
COCHABAMBA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,263,263
COLCAPIRHUA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,1,1
COLOMI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,3,3
COMANCHE,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,2,2
COPACABANA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,8,8
CORIPATA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,1,1
CORO CORO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,1,1
COROICO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,5,5
COTAGAITA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,5,5
COTOCA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,11,11
CUATRO CAÑADAS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,1,1
DESAGUADERO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,1,1
EL ALTO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,184,184
EL TORNO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,4,4
ENTRE RIOS,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,5,5
FERNANDEZ ALONSO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,6,6
GUANAY,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,3,3
GUAQUI,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,2,2
GUAYARAMERIN,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,1,1
JESUS DE MACHACA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,4,4
LA GUARDIA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,6,6
LA PAZ,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,436,436
LICOMA PAMPA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,1,1
MAIRANA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,6,6
MECAPACA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,1,1
MOCOMOCO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,5,5
MONTERO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,34,34
MORO MORO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,1,1
NAZACARA DE PACAJES,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,1,1
ORURO,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,123,123
PADCAYA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,2,2
PADILLA,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,2007-03-01,2,2
